timestamps,TP9,AF7,AF8,TP10,Right AUX
1737553107.372,-24.414,-18.555,-13.672,965.332,0.000
1737553107.376,-32.227,-23.438,-15.625,209.473,0.000
1737553107.380,-56.152,-31.738,-15.137,-1000.000,0.000
1737553107.384,-44.434,-28.320,-10.742,-488.281,0.000
1737553107.388,8.301,-20.508,-9.277,879.883,0.000
1737553107.392,11.230,-7.324,-18.066,979.004,0.000
1737553107.396,-36.621,-2.930,-24.902,-484.863,0.000
1737553107.400,-52.734,-24.414,-20.996,-1000.000,0.000
1737553107.404,-44.922,-40.527,-18.555,-928.711,0.000
1737553107.407,-37.598,-20.996,-14.160,-1000.000,0.000
1737553107.411,-35.156,-7.812,-8.301,-1000.000,0.000
1737553107.415,-31.738,-6.348,-12.207,-1000.000,0.000
1737553107.419,-28.809,-4.395,-11.230,-1000.000,0.000
1737553107.423,-38.086,-15.625,-11.230,-1000.000,0.000
1737553107.427,-42.480,-20.020,-15.625,-1000.000,0.000
1737553107.431,-35.645,-14.160,-15.625,-1000.000,0.000
1737553107.435,-29.297,-11.719,-16.113,-939.941,0.000
1737553107.439,-20.996,-23.926,-19.043,-1000.000,0.000
1737553107.443,-1.465,-28.809,-20.508,-760.742,0.000
1737553107.447,8.789,-8.301,-16.602,671.875,0.000
1737553107.450,-7.324,-0.977,-8.789,999.512,0.000
1737553107.454,-0.488,-0.488,-11.719,903.320,0.000
1737553107.458,7.812,-4.883,-16.113,984.863,0.000
1737553107.462,-15.137,-10.742,-12.695,977.539,0.000
1737553107.466,-11.719,-15.625,-12.207,950.684,0.000
1737553107.470,-7.324,-24.414,-19.043,937.012,0.000
1737553107.474,-16.113,-20.508,-21.973,999.512,0.000
1737553107.478,-18.066,-14.648,-20.996,-81.543,0.000
1737553107.482,-29.297,-22.461,-21.484,-919.922,0.000
1737553107.486,-4.883,-15.625,-13.672,504.395,0.000
1737553107.489,-3.906,-14.160,-7.324,999.512,0.000
1737553107.493,-23.926,-12.695,-7.812,756.348,0.000
1737553107.497,-46.875,-14.160,-15.625,-611.328,0.000
1737553107.501,-50.781,-23.438,-22.461,-1000.000,0.000
1737553107.505,-56.641,-25.391,-18.555,-926.758,0.000
1737553107.509,-50.781,-22.461,-17.090,-1000.000,0.000
1737553107.513,-35.645,-20.508,-15.137,-1000.000,0.000
1737553107.517,-24.902,-15.625,-11.719,-1000.000,0.000
1737553107.521,-31.250,-12.695,-15.625,-1000.000,0.000
1737553107.525,-47.363,-9.766,-19.531,-1000.000,0.000
1737553107.529,-41.504,-17.578,-22.949,-1000.000,0.000
1737553107.532,-17.578,-24.902,-23.438,-1000.000,0.000
1737553107.536,0.977,-16.602,-20.508,-974.609,0.000
1737553107.540,-13.672,-14.160,-24.902,-979.492,0.000
1737553107.544,-17.578,-7.324,-21.484,-1000.000,0.000
1737553107.548,6.348,0.488,-18.066,118.164,0.000
1737553107.552,-0.488,-2.930,-19.531,999.512,0.000
1737553107.556,-37.598,-9.277,-20.996,-356.934,0.000
1737553107.560,-38.574,-16.113,-22.461,-1000.000,0.000
1737553107.564,-16.113,-28.809,-21.973,-931.152,0.000
1737553107.568,5.371,-25.879,-22.461,231.934,0.000
1737553107.572,23.926,-0.488,-21.973,999.512,0.000
1737553107.575,-0.977,4.395,-25.391,226.562,0.000
1737553107.579,-47.852,-11.719,-23.926,-1000.000,0.000
1737553107.583,-50.293,-15.625,-17.578,-898.438,0.000
1737553107.587,-27.344,-6.836,-18.555,496.582,0.000
1737553107.591,-5.371,0.000,-15.137,999.512,0.000
1737553107.595,-16.602,-2.930,-8.789,538.086,0.000
1737553107.599,-47.363,-16.602,-9.766,-880.371,0.000
1737553107.603,-50.293,-29.297,-17.090,-774.414,0.000
1737553107.607,-10.742,-22.461,-21.973,687.012,0.000
1737553107.611,-10.742,-12.207,-24.414,999.512,0.000
1737553107.614,-27.832,-8.789,-22.949,745.117,0.000
1737553107.618,-34.180,-15.137,-18.066,-753.906,0.000
1737553107.622,-29.297,-18.066,-18.555,-806.641,0.000
1737553107.626,-13.184,-13.672,-18.555,696.289,0.000
1737553107.630,-24.902,-18.555,-16.113,999.512,0.000
1737553107.634,-30.762,-24.414,-22.949,704.102,0.000
1737553107.638,-50.781,-24.902,-20.996,-636.719,0.000
1737553107.642,-44.922,-16.602,-11.230,-1000.000,0.000
1737553107.646,-29.297,-12.695,-8.301,-969.727,0.000
1737553107.650,-3.418,-28.809,-18.555,204.102,0.000
1737553107.654,-0.977,-41.504,-28.320,650.879,0.000
1737553107.657,-38.086,-33.691,-24.902,-830.566,0.000
1737553107.661,-50.293,-26.367,-21.484,-1000.000,0.000
1737553107.665,-41.992,-25.879,-36.133,-936.035,0.000
1737553107.669,-50.293,-16.113,-34.180,-1000.000,0.000
1737553107.673,-52.246,-12.695,-21.973,-1000.000,0.000
1737553107.677,-35.645,-15.137,-21.484,-943.359,0.000
1737553107.681,-16.602,-18.555,-19.531,-1000.000,0.000
1737553107.685,-17.090,-20.020,-24.414,-672.363,0.000
1737553107.689,-19.043,-19.043,-19.531,753.906,0.000
1737553107.693,-25.879,-19.531,-6.348,999.512,0.000
1737553107.697,-59.082,-18.066,-18.555,-355.957,0.000
1737553107.700,-76.172,-1.465,-24.902,-1000.000,0.000
1737553107.704,-73.730,-9.766,-18.555,-584.961,0.000
1737553107.708,-72.754,-3.418,-10.254,822.266,0.000
1737553107.712,-93.750,5.371,-5.371,892.578,0.000
1737553107.716,-156.250,-16.602,-14.160,-689.941,0.000
1737553107.720,-199.707,0.488,-17.578,-1000.000,0.000
1737553107.724,-253.906,9.766,-13.184,-926.758,0.000
1737553107.728,-300.781,-12.207,-14.160,-1000.000,0.000
1737553107.732,-327.148,0.488,-35.645,-1000.000,0.000
1737553107.736,-371.582,16.113,-34.668,-1000.000,0.000
1737553107.739,-385.254,0.488,-20.508,-1000.000,0.000
1737553107.743,-372.559,3.418,-24.902,-1000.000,0.000
1737553107.747,-375.977,1.953,-20.020,-1000.000,0.000
1737553107.751,-378.906,5.859,-21.484,-1000.000,0.000
1737553107.755,-358.887,16.113,-26.855,-1000.000,0.000
1737553107.759,-360.840,17.578,-25.391,-1000.000,0.000
1737553107.763,-375.488,18.066,-17.578,-1000.000,0.000
1737553107.767,-363.281,24.902,-24.414,-1000.000,0.000
1737553107.771,-328.613,36.133,-30.273,-1000.000,0.000
1737553107.775,-308.105,28.809,-26.367,-1000.000,0.000
1737553107.779,-322.754,30.273,-28.809,-1000.000,0.000
1737553107.782,-334.473,41.016,-28.320,-1000.000,0.000
