timestamps,TP9,AF7,AF8,TP10,Right AUX
1737564334.250,-32.227,-26.367,-14.160,-28.809,0.000
1737564334.254,-41.504,-31.738,-22.949,-20.020,0.000
1737564334.258,-26.855,-32.227,-23.438,-14.160,0.000
1737564334.262,11.719,-23.926,-21.484,-14.648,0.000
1737564334.266,0.977,-24.414,-18.066,-48.340,0.000
1737564334.270,-33.691,-19.043,-13.672,-64.941,0.000
1737564334.274,-75.195,-11.230,-18.555,-37.598,0.000
1737564334.278,-12.695,-5.859,-26.367,5.859,0.000
1737564334.281,8.789,-16.602,-21.484,-20.996,0.000
1737564334.285,-47.363,-21.484,-18.066,-79.102,0.000
1737564334.289,-41.504,-12.207,-13.184,-54.688,0.000
1737564334.293,-27.344,-11.719,-10.254,-37.598,0.000
1737564334.297,-38.086,-20.020,-20.020,-12.207,0.000
1737564334.301,-16.602,-24.902,-21.484,16.113,0.000
1737564334.305,-6.348,-20.508,-17.090,-6.836,0.000
1737564334.309,-34.668,-23.438,-17.578,-27.832,0.000
1737564334.313,-27.344,-30.273,-20.020,-29.297,0.000
1737564334.317,-15.137,-22.461,-13.184,-0.488,0.000
1737564334.321,-12.207,-16.602,-14.160,0.000,0.000
1737564334.324,-26.367,-32.227,-37.598,-46.875,0.000
1737564334.328,-79.102,-33.203,-39.062,-69.824,0.000
1737564334.332,-64.453,-22.461,-18.555,-50.781,0.000
1737564334.336,-16.113,-20.508,-15.625,-31.738,0.000
1737564334.340,-17.090,-16.113,-19.531,-38.574,0.000
1737564334.344,-24.902,-16.602,-20.996,-41.992,0.000
1737564334.348,-44.434,-31.738,-20.996,-40.039,0.000
1737564334.352,-38.086,-22.461,-22.949,-23.438,0.000
1737564334.356,-8.789,-5.371,-17.578,-3.418,0.000
1737564334.360,-7.812,-4.395,-10.742,-9.277,0.000
1737564334.364,-19.043,-1.953,-8.301,-21.973,0.000
1737564334.367,-41.992,-4.395,-14.160,-24.902,0.000
1737564334.371,-43.457,-9.277,-13.672,-13.672,0.000
1737564334.375,-43.457,-14.648,-10.742,-17.090,0.000
1737564334.379,-21.484,-20.996,-10.254,-27.832,0.000
1737564334.383,16.602,-13.672,-8.789,-8.301,0.000
1737564334.387,-25.879,-10.742,-9.766,-26.367,0.000
1737564334.391,-62.988,-21.484,-9.277,-38.574,0.000
1737564334.395,-24.414,-30.762,-34.180,-32.715,0.000
1737564334.399,-21.973,-34.668,-54.199,-28.809,0.000
1737564334.403,-47.363,-21.973,-26.855,-14.648,0.000
1737564334.406,-49.805,-12.695,1.953,-17.090,0.000
1737564334.410,-43.457,-12.695,2.441,-25.391,0.000
1737564334.414,4.883,-12.695,-11.719,-2.930,0.000
1737564334.418,32.227,-10.742,-13.184,16.113,0.000
1737564334.422,-55.664,-10.742,-6.836,-47.852,0.000
1737564334.426,-90.332,-19.043,-12.695,-60.059,0.000
1737564334.430,-47.363,-21.973,-24.902,-16.113,0.000
1737564334.434,4.883,-20.508,-20.020,2.930,0.000
1737564334.438,16.113,-26.855,-6.348,37.598,0.000
1737564334.442,-6.348,-28.320,-8.301,3.418,0.000
1737564334.446,-44.434,-20.020,-9.277,-71.289,0.000
1737564334.449,-80.566,-15.137,-12.695,-66.895,0.000
1737564334.453,-57.617,-16.113,-26.367,-25.879,0.000
1737564334.457,-34.180,-12.207,-24.414,-18.555,0.000
1737564334.461,-4.395,-11.719,-17.090,-18.066,0.000
1737564334.465,-9.277,-21.484,-20.020,-11.719,0.000
1737564334.469,-16.113,-22.949,-20.020,12.695,0.000
1737564334.473,-22.461,-22.949,-30.273,-17.090,0.000
1737564334.477,-44.922,-29.297,-29.785,-27.832,0.000
1737564334.481,-35.156,-30.762,-4.883,17.090,0.000
1737564334.485,-18.066,-29.785,-4.395,1.953,0.000
1737564334.489,-28.809,-23.438,-17.578,-32.227,0.000
1737564334.492,-48.828,-9.766,-17.090,-66.406,0.000
1737564334.496,-12.695,-7.324,-15.137,-38.574,0.000
1737564334.500,13.184,-10.742,-12.695,22.461,0.000
1737564334.504,14.160,-9.766,-20.020,-48.828,0.000
1737564334.508,-32.227,-15.137,-31.250,-59.082,0.000
1737564334.512,-38.086,-15.137,-31.738,12.695,0.000
1737564334.516,-19.043,-11.230,-37.109,18.555,0.000
1737564334.520,-16.602,-14.648,-30.273,9.277,0.000
1737564334.524,-22.949,-13.184,-8.301,-9.766,0.000
1737564334.527,-49.805,-11.230,0.488,-38.574,0.000
1737564334.532,-35.156,-20.020,-16.602,-48.828,0.000
1737564334.536,-25.391,-36.133,-27.832,-40.039,0.000
1737564334.539,-30.273,-37.598,-15.137,-24.902,0.000
1737564334.543,-25.391,-22.461,-13.672,-31.250,0.000
1737564334.547,-43.945,-14.160,-40.039,-31.738,0.000
1737564334.551,-38.574,-9.277,-38.086,-11.230,0.000
1737564334.555,-8.301,-12.695,-11.230,-33.691,0.000
1737564334.559,-1.465,-17.578,-6.348,-22.949,0.000
1737564334.563,-4.395,-19.531,-9.766,16.113,0.000
1737564334.567,-46.875,-28.809,-9.277,-3.418,0.000
1737564334.571,-56.641,-28.809,-1.465,-34.668,0.000
1737564334.574,-41.016,-19.531,-0.977,-17.090,0.000
1737564334.579,0.000,-12.207,-13.184,0.488,0.000
1737564334.582,16.602,-12.695,-17.090,-11.719,0.000
1737564334.586,-22.461,-11.230,-12.695,-62.988,0.000
1737564334.590,-49.316,-5.859,-18.555,-62.500,0.000
1737564334.594,-62.988,-7.812,-29.785,-19.531,0.000
1737564334.598,-19.043,-7.812,-30.762,-14.648,0.000
1737564334.602,19.043,-11.719,-21.973,22.461,0.000
1737564334.606,-2.441,-22.949,-20.508,17.090,0.000
1737564334.610,-34.180,-26.855,-21.973,-34.180,0.000
1737564334.614,-39.062,-23.926,-20.508,-31.250,0.000
1737564334.617,-41.992,-19.043,-25.879,-30.273,0.000
1737564334.621,-26.855,-17.090,-29.297,-41.992,0.000
1737564334.625,-26.367,-24.902,-32.715,-52.246,0.000
1737564334.629,-53.223,-33.691,-34.668,-51.270,0.000
1737564334.633,-31.738,-28.320,-26.367,-30.762,0.000
1737564334.637,12.207,-20.020,-27.344,-19.043,0.000
1737564334.641,-1.465,-23.926,-44.434,-8.301,0.000
1737564334.645,-52.734,-27.832,-45.410,-38.574,0.000
1737564334.649,-68.359,-30.273,-33.203,-41.992,0.000
1737564334.653,-45.898,-28.320,-23.926,-34.180,0.000
1737564334.657,-21.484,-14.648,-10.742,-43.945,0.000
1737564334.660,-16.602,1.465,-0.488,-4.883,0.000
1737564334.664,-16.602,-2.930,-10.742,-7.324,0.000
1737564334.668,-39.062,-19.043,-25.391,-39.062,0.000
1737564334.672,-58.594,-23.926,-24.414,-42.480,0.000
1737564334.676,-27.344,-21.484,-17.090,-20.020,0.000
1737564334.680,-25.391,-26.367,-17.090,-6.836,0.000
1737564334.684,-50.293,-26.855,-22.949,-23.438,0.000
1737564334.688,-40.527,-16.113,-27.832,-27.832,0.000
1737564334.692,-32.715,-5.859,-30.273,-12.695,0.000
1737564334.696,-36.133,-4.395,-24.902,-41.504,0.000
1737564334.700,-36.621,-16.602,-16.113,-64.941,0.000
1737564334.703,-37.109,-21.484,-12.695,-43.457,0.000
1737564334.707,-30.762,-21.973,-10.254,-32.227,0.000
1737564334.711,-61.523,-22.461,-11.719,-18.555,0.000
1737564334.715,-60.059,-20.996,-12.207,-4.883,0.000
1737564334.719,11.230,-13.184,0.000,-0.488,0.000
1737564334.723,0.977,-10.742,0.000,-17.090,0.000
1737564334.727,-14.160,-17.090,0.000,-57.129,0.000
1737564334.731,-24.414,-17.090,0.000,-74.707,0.000
1737564334.735,-65.918,-20.020,0.000,-41.016,0.000
1737564334.739,-11.719,-14.648,0.000,-1.953,0.000
1737564334.743,27.344,-14.160,0.000,-0.488,0.000
1737564334.746,-31.738,-30.273,0.000,-25.391,0.000
1737564334.750,-59.082,-21.484,0.000,-26.367,0.000
1737564334.754,-33.691,-10.254,0.000,-19.531,0.000
1737564334.758,-2.930,-12.207,0.000,-14.160,0.000
1737564334.762,-6.836,-15.625,0.000,-15.625,0.000
1737564334.766,-50.293,-20.020,-30.273,-21.484,0.000
1737564334.770,-45.898,-26.855,-26.367,-32.227,0.000
1737564334.774,-31.738,-28.320,-24.414,-42.969,0.000
1737564334.778,-29.785,-25.879,-20.508,-15.137,0.000
1737564334.782,5.371,-28.809,-21.973,0.488,0.000
1737564334.785,0.488,-20.020,-24.902,-20.020,0.000
1737564334.789,-20.020,-14.160,-11.719,-27.832,0.000
1737564334.793,-42.480,-11.230,-7.324,-16.602,0.000
1737564334.797,-39.551,-10.254,-22.949,-16.602,0.000
1737564334.801,-40.039,-14.160,-33.691,-15.137,0.000
1737564334.805,-60.547,-14.160,-31.738,-39.062,0.000
1737564334.809,-19.043,-17.090,-20.508,-62.988,0.000
1737564334.813,-9.277,-16.602,-12.207,-25.879,0.000
1737564334.817,-6.836,-11.230,-9.277,-25.391,0.000
1737564334.821,-8.301,-17.090,-5.371,-47.852,0.000
1737564334.825,-42.480,-24.902,-18.066,-20.508,0.000
1737564334.828,-31.250,-18.555,-22.461,0.000,0.000
1737564334.832,-23.926,-18.066,-12.207,3.418,0.000
1737564334.836,-44.922,-24.902,-15.137,-25.879,0.000
1737564334.840,-22.461,-22.461,-19.043,-15.625,0.000
1737564334.844,-17.578,-15.625,-19.531,-25.879,0.000
1737564334.848,-31.250,-14.648,-20.508,-69.824,0.000
1737564334.852,-46.387,-17.090,-31.738,-30.762,0.000
1737564334.856,-32.715,-20.020,-41.992,5.859,0.000
1737564334.860,-7.324,-40.039,-34.668,-3.418,0.000
1737564334.864,-29.297,-44.434,-19.531,-26.367,0.000
1737564334.867,-49.805,-30.273,-1.465,-37.109,0.000
1737564334.871,-34.180,-26.367,1.465,-13.184,0.000
1737564334.875,-7.812,-15.625,-12.207,4.883,0.000
1737564334.879,-3.418,-5.859,-30.273,0.488,0.000
1737564334.883,-3.906,-5.371,-32.227,-42.480,0.000
1737564334.887,-11.719,-11.719,-18.555,-81.543,0.000
1737564334.891,-34.180,-16.113,-10.742,-59.082,0.000
1737564334.895,-29.297,-17.090,-8.301,6.836,0.000
1737564334.899,-4.883,-18.555,-10.742,9.277,0.000
1737564334.902,-18.066,-20.508,-11.719,-4.883,0.000
1737564334.907,-48.828,-21.973,-18.066,-11.230,0.000
1737564334.910,-40.527,-16.113,-22.949,-34.180,0.000
1737564334.914,-13.184,-18.555,-10.254,-18.555,0.000
1737564334.918,-19.043,-21.973,-5.859,12.695,0.000
1737564334.922,-19.531,-14.648,-7.324,1.465,0.000
1737564334.926,-10.742,-11.719,-4.883,-32.715,0.000
1737564334.930,-25.391,-17.578,-10.254,-29.785,0.000
1737564334.934,-0.488,-18.555,-12.695,-15.137,0.000
1737564334.938,49.805,-8.301,-26.855,12.207,0.000
1737564334.942,13.672,-6.836,-37.109,20.508,0.000
1737564334.945,-7.324,-10.742,-18.555,-42.480,0.000
1737564334.949,-13.672,-17.090,-9.277,-59.570,0.000
1737564334.953,0.000,-17.090,-8.301,-20.508,0.000
1737564334.957,0.000,-19.531,-2.930,0.000,0.000
1737564334.961,0.000,-16.602,-6.348,-17.578,0.000
1737564334.965,0.000,-24.414,-11.230,-17.578,0.000
1737564334.969,0.000,-38.086,-15.137,0.488,0.000
1737564334.973,0.000,-16.602,-25.391,4.395,0.000
1737564334.977,0.000,-12.695,-34.668,-5.859,0.000
1737564334.981,0.000,-27.832,-37.598,-40.527,0.000
1737564334.985,0.000,-23.438,-33.691,-27.344,0.000
1737564334.988,0.000,-24.414,-23.926,-14.648,0.000
1737564334.992,0.000,-28.320,-24.902,-25.879,0.000
1737564334.996,0.000,-22.949,-37.109,-22.461,0.000
1737564335.000,31.250,-16.113,-20.020,-15.137,0.000
1737564335.004,-2.441,-28.809,-1.465,-36.133,0.000
1737564335.008,-73.730,-40.527,-8.789,-42.969,0.000
1737564335.012,-87.402,-34.668,-22.461,-32.227,0.000
1737564335.016,-39.062,-26.367,-29.297,-34.668,0.000
1737564335.020,11.230,-25.391,-20.508,-1.465,0.000
1737564335.024,-14.648,-27.832,-18.555,8.301,0.000
1737564335.028,-32.227,-24.902,-30.273,-24.902,0.000
1737564335.031,-31.250,-19.043,-31.738,-33.203,0.000
1737564335.035,-20.020,-15.625,-26.367,-13.672,0.000
1737564335.039,-5.859,-19.531,-19.531,-0.977,0.000
1737564335.043,-15.137,-19.531,-10.742,-15.625,0.000
1737564335.047,-46.875,-18.555,-8.301,-39.062,0.000
1737564335.051,-48.828,-18.066,-15.625,-38.086,0.000
1737564335.055,-24.414,-22.461,-26.367,-19.043,0.000
1737564335.059,10.742,-23.438,-21.484,6.836,0.000
1737564335.063,28.320,-21.484,-12.207,15.137,0.000
1737564335.067,-23.926,-22.949,-20.508,-8.789,0.000
1737564335.071,-50.293,-22.461,-32.227,-24.902,0.000
1737564335.074,-19.531,-24.414,-19.043,7.324,0.000
1737564335.078,14.160,-29.785,-3.418,23.438,0.000
1737564335.082,6.348,-35.156,-9.277,-9.277,0.000
1737564335.086,-54.688,-28.320,-18.555,-29.297,0.000
1737564335.090,-53.711,-20.020,-20.996,-24.414,0.000
1737564335.094,5.371,-11.719,-19.531,-5.859,0.000
1737564335.098,22.949,-6.836,-23.438,2.441,0.000
1737564335.102,17.090,-7.812,-20.020,-24.414,0.000
1737564335.106,-9.766,-12.207,-14.160,-42.969,0.000
1737564335.110,-35.156,-21.973,-16.602,-32.227,0.000
1737564335.114,4.883,-22.949,-14.160,-28.809,0.000
1737564335.117,-0.488,-21.484,-10.254,-16.602,0.000
1737564335.121,-54.199,-18.555,-11.230,6.836,0.000
1737564335.125,-32.227,-12.207,-13.672,-7.812,0.000
1737564335.129,-8.789,-4.395,-20.996,-15.625,0.000
