,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,-0.488,0.000,0.000,-0.488,0.000,1737547318.251
1,0.488,-0.488,-0.488,0.000,0.000,1737547318.255
2,-3.418,-0.977,-1.465,-0.977,0.000,1737547318.259
3,5.371,1.465,4.883,-1.953,0.000,1737547318.262
4,-17.578,-16.113,-23.926,2.930,0.000,1737547318.266
5,-89.355,-47.852,-17.090,-42.480,0.000,1737547318.270
6,-68.848,-44.922,16.602,-101.562,0.000,1737547318.274
7,-163.574,7.812,-49.805,-87.402,0.000,1737547318.278
8,-76.660,-20.996,-62.500,-30.762,0.000,1737547318.282
9,173.828,-60.059,-36.133,68.848,0.000,1737547318.286
10,56.641,-17.090,-41.504,34.668,0.000,1737547318.289
11,-80.566,-7.324,-46.875,-18.555,0.000,1737547318.293
12,-9.277,-65.430,-21.973,11.230,0.000,1737547318.295
13,29.785,-89.355,-4.883,-25.391,-0.977,1737547318.299
14,-24.414,-36.133,-16.113,-59.570,-4.883,1737547318.302
15,-10.742,-20.020,-10.742,-53.223,15.137,1737547318.306
16,3.906,-60.059,-49.805,0.000,-94.727,1737547318.310
17,-129.883,-24.414,-70.801,5.859,-138.184,1737547318.313
18,-42.969,-2.441,-62.012,8.301,-100.586,1737547318.317
19,113.770,-77.637,-38.574,47.363,-74.707,1737547318.321
20,-4.883,-64.453,-32.715,6.348,37.109,1737547318.324
21,-49.805,-37.598,-39.551,-39.062,102.051,1737547318.328
22,5.859,-80.566,-44.922,-20.508,108.887,1737547318.332
23,10.742,-61.523,-38.086,-13.672,17.578,1737547318.335
24,-39.551,-30.762,-30.273,-41.016,-58.594,1737547318.335
25,-13.184,-53.711,-51.270,-25.879,61.523,1737547318.338
26,3.906,-65.918,-47.852,-7.324,165.039,1737547318.342
27,4.883,-30.762,-49.316,-16.113,84.473,1737547318.345
28,-13.184,-49.805,-28.320,-23.438,-5.371,1737547318.349
29,-64.941,-62.012,-24.414,-21.484,-19.043,1737547318.352
30,46.387,-51.270,-32.227,-2.441,-15.625,1737547318.356
31,42.969,-56.152,-28.320,-18.555,-34.668,1737547318.359
