timestamps,TP9,AF7,AF8,TP10,Right AUX
1737563368.589,-20.020,-24.414,-16.602,145.508,0.000
1737563368.593,4.883,-20.020,-32.227,36.133,0.000
1737563368.597,-22.949,-27.344,-18.066,-25.879,0.000
1737563368.601,-34.180,-39.551,4.395,-21.973,0.000
1737563368.605,-20.996,-37.598,12.695,75.684,0.000
1737563368.609,-33.203,-32.227,9.766,93.262,0.000
1737563368.613,-5.371,-28.809,-17.578,5.371,0.000
1737563368.617,-83.984,-30.762,-27.344,-23.926,0.000
1737563368.621,-84.961,-39.062,-4.395,4.883,0.000
1737563368.624,16.113,-44.922,-3.418,0.000,0.000
1737563368.628,-6.348,-31.250,-4.883,51.758,0.000
1737563368.632,-122.070,-20.020,-14.160,37.598,0.000
1737563368.636,-138.672,-24.902,-28.809,-60.059,0.000
1737563368.640,-21.973,-26.855,-7.324,18.555,0.000
1737563368.644,-9.766,-30.273,-2.930,4.883,0.000
1737563368.648,-92.285,-32.227,-17.090,-46.875,0.000
1737563368.652,-95.215,-20.996,-37.109,-28.809,0.000
1737563368.656,-52.246,-19.043,-45.410,-125.977,0.000
1737563368.660,-48.340,-26.855,-26.855,-96.191,0.000
1737563368.663,-43.945,-34.668,-11.719,9.277,0.000
1737563368.667,-100.586,-41.016,-14.160,15.625,0.000
1737563368.671,-96.680,-41.504,-25.879,-11.719,0.000
1737563368.675,-85.938,-37.598,-38.574,-105.469,0.000
1737563368.679,-143.066,-32.227,-46.875,-95.703,0.000
1737563368.683,0.000,-24.902,-51.270,-54.688,0.000
1737563368.687,0.000,-36.621,-25.879,-60.059,0.000
1737563368.691,0.000,-41.016,-4.395,-54.199,0.000
1737563368.695,0.000,-37.598,-11.230,-81.543,0.000
1737563368.699,0.000,-38.086,-12.695,-60.059,0.000
1737563368.703,0.000,-36.133,-27.344,-125.977,0.000
1737563368.706,0.000,-34.668,-24.902,-101.562,0.000
1737563368.710,0.000,-33.691,-14.648,-76.660,0.000
1737563368.714,0.000,-31.738,-13.672,-114.258,0.000
1737563368.718,0.000,-39.062,-6.348,-140.137,0.000
1737563368.722,0.000,-40.039,-17.578,-188.477,0.000
1737563368.726,0.000,-26.855,-25.879,-93.750,0.000
1737563368.730,-204.102,-27.832,-25.391,-111.328,0.000
1737563368.734,-164.062,-28.320,-32.715,-270.996,0.000
1737563368.738,-90.820,-29.785,-23.926,-146.973,0.000
1737563368.742,-12.207,-28.809,-19.043,-49.805,0.000
1737563368.746,13.672,-16.602,-0.977,-18.555,0.000
1737563368.749,-100.586,-22.949,12.695,-41.504,0.000
1737563368.753,-156.738,-31.738,-11.719,-65.918,0.000
1737563368.757,-106.445,-31.738,-21.484,-73.242,0.000
1737563368.761,-86.914,-35.156,2.930,-107.910,0.000
1737563368.765,-111.816,-36.621,3.906,-49.316,0.000
1737563368.769,-89.355,-31.738,-31.738,-89.355,0.000
1737563368.773,-63.477,-35.645,-25.391,-130.859,0.000
1737563368.777,60.059,-33.203,-2.930,-55.176,0.000
1737563368.781,-52.734,-31.250,-0.488,0.000,0.000
1737563368.785,-115.723,-37.109,-1.953,48.340,0.000
1737563368.788,-41.992,-34.180,-5.371,49.316,0.000
1737563368.792,-63.965,-24.902,-3.906,-47.852,0.000
1737563368.796,-85.449,-4.883,-13.184,-143.066,0.000
1737563368.800,-92.773,5.371,-15.137,-104.980,0.000
1737563368.804,-8.301,0.000,-19.531,-19.531,0.000
1737563368.808,-19.531,9.277,-33.691,-70.312,0.000
1737563368.812,-179.688,17.578,-45.410,-182.129,0.000
1737563368.816,-130.859,25.391,-52.734,-209.961,0.000
1737563368.820,-111.816,31.250,-40.527,-153.809,0.000
1737563368.824,-152.344,26.855,-28.809,-73.730,0.000
1737563368.828,-136.230,33.203,-21.973,-104.004,0.000
1737563368.831,-111.816,40.527,-31.250,-168.945,0.000
1737563368.835,-158.691,47.363,-32.227,-191.406,0.000
1737563368.839,-156.738,60.059,-32.715,-185.059,0.000
1737563368.843,-94.238,68.359,-56.641,-147.949,0.000
1737563368.847,-234.863,58.105,-57.617,-235.840,0.000
1737563368.851,-246.582,41.016,-34.668,-352.051,0.000
1737563368.855,-206.543,39.551,9.277,-318.848,0.000
1737563368.859,-272.461,56.152,14.160,-324.707,0.000
1737563368.863,-247.559,60.547,7.324,-280.273,0.000
1737563368.867,-201.660,62.988,-4.395,-220.703,0.000
1737563368.871,-194.336,71.289,-42.480,-214.844,0.000
1737563368.874,-234.375,62.012,-38.086,-205.566,0.000
1737563368.878,-195.801,51.270,10.254,-191.406,0.000
1737563368.882,-203.125,44.434,9.766,-203.125,0.000
1737563368.886,-152.344,30.762,-11.719,-125.488,0.000
1737563368.890,-121.094,23.438,-27.344,-167.480,0.000
1737563368.894,-125.000,27.344,-28.809,-161.621,0.000
1737563368.898,-84.961,2.930,0.977,-131.348,0.000
1737563368.902,-163.086,-30.273,9.277,-158.691,0.000
1737563368.906,-75.684,-33.203,-19.531,-68.848,0.000
1737563368.910,-31.250,-39.062,-10.742,-106.934,0.000
1737563368.913,-136.230,-54.199,24.902,-107.910,0.000
1737563368.917,0.000,-63.477,0.000,-74.707,0.000
1737563368.921,0.000,-67.871,0.000,-99.609,0.000
1737563368.925,0.000,-76.660,0.000,-46.387,0.000
1737563368.929,0.000,-82.031,0.000,5.859,0.000
1737563368.933,0.000,-83.008,0.000,-40.527,0.000
1737563368.937,0.000,-81.543,0.000,-70.312,0.000
1737563368.941,0.000,-86.914,0.000,-19.531,0.000
1737563368.945,0.000,-82.031,0.000,28.809,0.000
1737563368.949,0.000,-85.449,0.000,26.367,0.000
1737563368.953,0.000,-100.098,0.000,-28.320,0.000
1737563368.956,0.000,-100.098,0.000,-84.961,0.000
1737563368.960,0.000,-93.750,0.000,-110.352,0.000
1737563368.964,-48.340,-96.191,30.762,-57.129,0.000
1737563368.968,30.762,-81.055,10.254,-5.859,0.000
1737563368.972,-0.977,-66.406,-13.672,-26.367,0.000
1737563368.976,-59.082,-78.125,-34.180,-15.625,0.000
1737563368.980,-48.828,-79.590,-35.156,-68.848,0.000
1737563368.984,-45.410,-60.059,-22.949,-148.438,0.000
1737563368.988,-24.414,-57.617,-12.207,-164.062,0.000
1737563368.992,-66.406,-72.266,-2.441,-183.594,0.000
1737563368.995,-49.316,-77.148,-5.371,-171.875,0.000
1737563368.999,-32.715,-66.895,-9.766,-139.648,0.000
1737563369.003,-42.969,-51.270,-12.695,-153.320,0.000
1737563369.007,-7.812,-41.992,-10.742,-89.355,0.000
1737563369.011,-5.859,-44.922,-9.277,-129.883,0.000
1737563369.015,-163.574,-55.176,-7.812,-196.777,0.000
1737563369.019,-153.809,-48.340,-4.395,-200.195,0.000
1737563369.023,-70.312,-39.062,-12.695,-202.148,0.000
1737563369.027,-90.332,-42.480,-20.996,-166.016,0.000
1737563369.031,-119.141,-40.527,-26.855,-176.270,0.000
1737563369.035,-69.824,-31.738,-37.109,-180.176,0.000
