timestamps,TP9,AF7,AF8,TP10,Right AUX
1737566951.745,0.000,-31.250,0.488,29.297,0.000
1737566951.749,0.000,-40.039,-23.926,-1.953,0.000
1737566951.753,0.000,-37.598,0.000,107.910,0.000
1737566951.757,0.000,-29.785,28.809,176.270,0.000
1737566951.760,0.000,-17.090,14.648,122.070,0.000
1737566951.764,0.000,-17.578,-13.184,22.949,0.000
1737566951.768,0.000,-38.086,-19.531,-47.363,0.000
1737566951.772,0.000,-44.434,-17.578,44.434,0.000
1737566951.776,0.000,-32.715,-9.277,148.926,0.000
1737566951.780,0.000,-9.766,-2.441,151.855,0.000
1737566951.784,0.000,-11.719,6.836,57.129,0.000
1737566951.788,0.000,-40.527,-2.441,-29.297,0.000
1737566951.792,-53.711,-61.035,0.000,47.852,0.000
1737566951.796,8.301,-64.453,0.000,173.340,0.000
1737566951.800,-3.418,-48.828,0.000,139.648,0.000
1737566951.804,-48.340,-22.461,0.000,28.809,0.000
1737566951.807,-62.988,-12.207,0.000,-17.090,0.000
1737566951.811,-71.289,-17.578,0.000,11.230,0.000
1737566951.815,-41.992,-15.625,0.000,130.371,0.000
1737566951.819,3.906,-10.254,0.000,191.895,0.000
1737566951.823,-22.461,-1.953,0.000,135.742,0.000
1737566951.827,-52.734,-3.906,0.000,42.969,0.000
1737566951.831,-42.969,-17.090,0.000,49.805,0.000
1737566951.835,0.000,-18.066,0.000,143.555,0.000
1737566951.839,57.129,-9.277,-14.160,205.566,0.000
1737566951.843,-23.438,-20.508,10.254,87.891,0.000
1737566951.847,-113.281,-46.387,44.922,-51.270,0.000
1737566951.850,-62.500,-62.988,44.434,26.855,0.000
1737566951.854,39.062,-31.250,11.719,146.973,0.000
1737566951.858,31.738,10.254,-20.996,186.523,0.000
1737566951.862,-26.855,-1.953,-2.441,112.793,0.000
1737566951.866,2.441,-8.789,43.945,52.246,0.000
1737566951.870,-63.965,-14.160,45.898,42.480,0.000
1737566951.874,-71.289,-24.414,34.180,91.797,0.000
1737566951.878,41.504,-14.648,6.348,176.758,0.000
1737566951.881,-21.484,-33.691,-20.020,103.027,0.000
1737566951.886,-119.629,-56.152,-4.883,15.137,0.000
1737566951.890,-88.379,-41.992,14.648,36.621,0.000
1737566951.893,38.086,-19.531,-10.254,124.512,0.000
1737566951.897,64.453,-1.465,-6.348,194.336,0.000
1737566951.901,-64.453,-14.160,5.859,135.254,0.000
1737566951.905,-113.281,-28.809,-12.695,32.227,0.000
1737566951.909,-41.992,-44.922,16.602,40.527,0.000
1737566951.913,38.086,-41.016,30.762,140.625,0.000
1737566951.917,28.809,-22.949,8.301,188.477,0.000
1737566951.921,-51.758,-33.203,2.930,107.422,0.000
1737566951.924,-100.586,-38.574,-9.766,-2.930,0.000
1737566951.928,-82.520,-42.480,-14.648,-14.648,0.000
1737566951.933,-1.953,-15.137,0.977,85.449,0.000
1737566951.936,14.648,-19.531,12.207,152.344,0.000
1737566951.940,-44.922,-47.363,13.672,110.840,0.000
1737566951.944,-77.148,-32.227,0.000,23.926,0.000
1737566951.948,-71.289,-24.414,-28.320,-37.109,0.000
1737566951.952,-16.113,-14.160,-38.574,47.852,0.000
1737566951.956,30.762,-6.836,-20.020,157.227,0.000
1737566951.960,-25.879,-30.273,-14.648,144.531,0.000
1737566951.964,-94.727,-44.434,14.160,32.227,0.000
1737566951.967,-100.098,-44.434,34.668,-63.477,0.000
1737566951.971,-37.598,-41.504,15.625,10.254,0.000
1737566951.975,35.645,-35.645,8.789,144.531,0.000
1737566951.980,21.484,-25.879,1.953,153.809,0.000
1737566951.983,0.977,-27.344,10.742,60.547,0.000
1737566951.987,-45.898,-42.480,1.953,9.277,0.000
1737566951.991,-98.633,-51.758,-25.879,14.648,0.000
1737566951.995,0.977,-51.758,-35.645,103.516,0.000
1737566951.999,63.477,-16.602,-59.082,166.992,0.000
1737566952.003,-20.020,-7.812,-41.992,69.824,0.000
1737566952.007,-89.355,-32.227,12.207,-44.434,0.000
1737566952.011,-43.945,-17.090,31.250,-2.930,0.000
1737566952.014,44.434,-11.719,16.113,99.121,0.000
1737566952.018,18.066,-26.367,0.488,136.230,0.000
1737566952.022,-72.754,-30.762,8.301,83.984,0.000
1737566952.026,-92.773,-41.016,0.000,-15.137,0.000
1737566952.030,-85.449,-53.711,0.000,-37.109,0.000
1737566952.034,-23.926,-35.645,0.000,30.273,0.000
1737566952.038,47.363,-12.207,0.000,118.164,0.000
1737566952.042,-5.859,-27.344,0.000,56.641,0.000
1737566952.046,-85.938,-41.992,0.000,-58.105,0.000
1737566952.050,-69.824,-44.434,0.000,-50.781,0.000
1737566952.054,-26.367,-55.176,0.000,32.715,0.000
1737566952.057,5.371,-43.945,0.000,87.402,0.000
1737566952.061,12.695,-22.461,0.000,59.570,0.000
1737566952.065,-68.848,-29.785,0.000,-20.020,0.000
1737566952.069,-115.234,-27.832,0.000,-18.066,0.000
1737566952.073,-1.465,-20.508,-2.930,69.336,0.000
1737566952.077,89.355,-26.855,-3.418,129.395,0.000
1737566952.081,52.246,-34.180,-17.090,109.375,0.000
1737566952.085,-38.574,-32.227,-56.152,-22.461,0.000
1737566952.089,-77.637,-37.598,-53.711,-76.172,0.000
1737566952.093,-30.762,-32.227,-15.625,35.156,0.000
1737566952.096,7.324,-33.203,0.000,113.281,0.000
1737566952.100,-16.113,-40.527,-23.438,64.941,0.000
1737566952.104,-62.500,-37.598,-5.371,-41.016,0.000
1737566952.108,-87.402,-38.574,14.160,-88.379,0.000
1737566952.112,-43.945,-32.715,4.883,5.859,0.000
1737566952.116,53.711,-35.156,-10.254,114.746,0.000
1737566952.120,63.477,-44.922,-31.250,108.887,0.000
1737566952.124,-9.277,-43.457,-36.133,0.000,0.000
1737566952.128,-70.801,-41.992,-20.508,-75.195,0.000
1737566952.132,-78.125,-37.109,3.906,-24.414,0.000
1737566952.136,-25.391,-28.320,10.254,62.500,0.000
1737566952.139,17.090,-20.996,11.230,76.660,0.000
1737566952.143,-46.387,-15.625,-18.066,5.859,0.000
1737566952.147,-51.270,-12.695,-34.668,-36.621,0.000
1737566952.151,9.766,-25.879,-7.324,4.883,0.000
1737566952.155,67.383,-26.855,-7.324,69.824,0.000
1737566952.159,67.871,-23.926,-33.203,66.406,0.000
1737566952.163,-44.922,-33.203,-29.297,-13.184,0.000
1737566952.167,-118.164,-35.645,0.488,-87.402,0.000
1737566952.171,-65.430,-34.180,0.488,-57.617,0.000
1737566952.175,36.621,-28.809,4.883,55.664,0.000
1737566952.179,69.824,-29.297,4.395,117.676,0.000
1737566952.183,-14.648,-41.992,-16.113,40.039,0.000
1737566952.186,-68.848,-41.016,-30.273,-75.684,0.000
1737566952.190,-57.129,-25.391,-38.574,-56.641,0.000
1737566952.194,-9.766,-23.438,-38.086,46.875,0.000
1737566952.198,50.293,-34.668,-19.531,76.172,0.000
1737566952.202,3.906,-46.387,0.488,-1.953,0.000
1737566952.206,-72.754,-47.363,-5.859,-62.988,0.000
1737566952.210,-61.523,-46.875,-17.578,-38.086,0.000
1737566952.214,10.742,-36.133,-7.324,39.062,0.000
1737566952.218,66.406,-21.973,3.906,104.492,0.000
1737566952.222,38.086,-8.301,2.930,71.289,0.000
1737566952.226,-39.551,-24.902,-23.438,-10.254,0.000
1737566952.229,-45.898,-38.086,-47.363,-27.344,0.000
1737566952.233,-9.277,-35.645,-42.480,23.438,0.000
1737566952.237,8.789,-44.434,-41.992,84.473,0.000
1737566952.241,-16.113,-37.598,-33.691,35.156,0.000
1737566952.245,-72.754,-35.156,-37.109,-78.613,0.000
1737566952.249,-73.242,-30.762,-32.715,-96.680,0.000
1737566952.253,9.766,-5.859,0.000,29.297,0.000
1737566952.256,57.129,-19.043,2.441,94.727,0.000
