,TP9,AF7,AF8,TP10,Right AUX,timestamps
98,-17.578,-15.137,-31.738,532.227,0.000,1737549843.816
99,-120.605,-21.484,-13.184,-708.496,0.000,1737549843.819
100,-98.145,-20.996,-22.461,-755.859,0.000,1737549843.823
101,29.297,-6.348,-29.297,398.926,0.000,1737549843.826
102,53.223,-13.672,-4.395,999.512,0.000,1737549843.830
103,-1.465,-19.043,0.977,613.770,0.000,1737549843.833
104,-81.055,-12.207,-3.906,-628.418,0.000,1737549843.837
105,-92.285,-28.320,-13.672,-779.297,0.000,1737549843.840
106,-15.137,-41.016,-9.277,365.723,0.000,1737549843.844
107,44.922,-28.809,-6.348,999.512,0.000,1737549843.847
108,-2.930,-14.648,-14.160,646.484,0.000,1737549843.851
109,-77.637,-6.836,-17.090,-576.660,0.000,1737549843.855
110,-55.664,-13.184,-13.672,-829.102,0.000,1737549843.858
111,10.254,-13.184,-5.859,260.742,0.000,1737549843.862
112,35.645,-0.488,-22.949,975.586,0.000,1737549843.865
113,22.461,0.000,-24.414,814.941,0.000,1737549843.869
114,-20.020,-21.484,-5.371,-267.578,0.000,1737549843.872
115,-69.336,-34.668,-9.766,-957.031,0.000,1737549843.876
116,-24.414,-27.832,-17.578,-8.301,0.000,1737549843.879
117,43.945,-19.531,-18.555,974.121,0.000,1737549843.883
118,11.230,-4.883,-20.996,802.246,0.000,1737549843.886
119,-35.156,-4.883,-25.391,-390.137,0.000,1737549843.890
120,-81.055,-19.531,-16.113,-979.492,0.000,1737549843.894
121,-67.383,-21.484,-17.578,-54.199,0.000,1737549843.898
122,44.922,-20.020,-20.020,834.473,0.000,1737549843.901
123,88.379,-26.855,-22.949,935.059,0.000,1737549843.905
124,-23.438,-40.039,-30.273,-39.062,0.000,1737549843.908
125,-111.328,-31.250,-27.344,-840.332,0.000,1737549843.912
126,-58.594,-11.230,-14.160,-18.066,0.000,1737549843.915
127,20.020,-18.555,-4.883,847.168,0.000,1737549843.919
128,59.570,-20.508,-13.672,999.512,0.000,1737549843.922
129,0.977,-11.230,-17.578,285.156,0.000,1737549843.926
130,-65.430,-18.066,-23.926,-681.152,0.000,1737549843.929
131,-60.059,-24.414,-20.508,-110.352,0.000,1737549843.933
132,-7.324,-10.742,-5.859,830.566,0.000,1737549843.937
133,11.719,-16.602,-13.184,999.512,0.000,1737549843.941
134,-63.965,-28.809,-20.996,395.020,0.000,1737549843.944
135,-99.121,-21.973,-23.438,-613.281,0.000,1737549843.948
136,-46.875,-16.602,-23.438,-108.887,0.000,1737549843.951
137,36.621,-0.488,-17.090,863.281,0.000,1737549843.955
