timestamps,TP9,AF7,AF8,TP10,Right AUX
1737558639.402,-20.020,-5.859,-30.762,-33.203,0.000
1737558639.406,-23.926,-9.277,-24.414,-34.668,0.000
1737558639.410,-50.293,-14.160,-23.438,-99.121,0.000
1737558639.413,-44.922,-17.578,-25.879,-111.328,0.000
1737558639.417,-19.531,-15.137,-19.531,-59.570,0.000
1737558639.421,0.000,-10.742,-15.137,4.883,0.000
1737558639.425,-7.324,-13.672,-16.113,6.348,0.000
1737558639.429,-50.781,-22.461,-30.273,-82.520,0.000
1737558639.433,-62.988,-28.809,-43.945,-131.836,0.000
1737558639.437,-33.203,-28.320,-37.109,-95.215,0.000
1737558639.441,4.883,-15.625,-18.555,-26.367,0.000
1737558639.445,-4.883,-13.672,-20.020,-32.227,0.000
1737558639.449,-34.668,-17.578,-28.320,-117.188,0.000
1737558639.453,-38.574,-13.184,-24.414,-150.391,0.000
1737558639.456,-25.391,-14.160,-27.832,-112.305,0.000
1737558639.460,3.906,-10.742,-26.855,-28.809,0.000
1737558639.464,1.465,-8.789,-20.508,15.137,0.000
1737558639.468,-30.762,-16.113,-29.785,-42.480,0.000
1737558639.472,-40.527,-16.602,-30.762,-83.496,0.000
1737558639.476,-25.879,-13.672,-30.762,-74.219,0.000
1737558639.480,2.930,-12.207,-26.855,-5.371,0.000
1737558639.484,-2.930,-12.207,-26.855,53.223,0.000
1737558639.488,-26.855,-12.207,-34.180,-15.625,0.000
1737558639.492,-31.738,-7.812,-26.855,-75.195,0.000
1737558639.496,-12.695,-5.859,-27.344,-55.176,0.000
1737558639.499,11.230,-4.395,-22.949,2.930,0.000
1737558639.503,11.230,-7.324,-9.766,36.133,0.000
1737558639.507,-21.973,-12.695,-12.695,-41.504,0.000
1737558639.511,-41.016,-14.648,-18.555,-126.465,0.000
1737558639.515,-29.785,-14.160,-24.902,-146.484,0.000
1737558639.519,-4.883,-12.207,-23.926,-130.371,0.000
1737558639.523,-0.488,-11.230,-10.742,-75.195,0.000
1737558639.527,-24.414,-10.254,-15.625,-80.078,0.000
1737558639.531,-38.574,-11.719,-23.438,-132.324,0.000
1737558639.535,-37.598,-5.371,-17.090,-134.277,0.000
1737558639.538,-19.531,-2.441,-14.648,-95.215,0.000
1737558639.542,-4.395,-8.301,-14.160,-20.020,0.000
1737558639.546,-27.344,-15.137,-20.996,-16.602,0.000
1737558639.550,-49.805,-19.531,-36.133,-87.891,0.000
1737558639.554,-45.898,-26.367,-41.504,-100.098,0.000
1737558639.558,-13.672,-25.879,-23.926,-49.316,0.000
1737558639.562,8.301,-17.090,-16.602,22.949,0.000
1737558639.566,-24.902,-21.484,-27.832,30.762,0.000
1737558639.570,-54.688,-29.297,-28.809,-30.762,0.000
1737558639.574,-50.781,-23.926,-23.438,-64.941,0.000
1737558639.578,-24.414,-18.555,-18.066,-29.297,0.000
1737558639.581,4.883,-16.602,-13.672,47.363,0.000
1737558639.585,-10.742,-22.949,-20.020,54.199,0.000
1737558639.589,-45.898,-35.645,-32.227,-36.133,0.000
1737558639.593,-46.875,-32.715,-30.273,-86.426,0.000
1737558639.597,-25.879,-24.414,-22.461,-53.223,0.000
1737558639.601,-1.465,-18.066,-24.414,12.207,0.000
1737558639.605,-5.371,-20.508,-34.668,41.992,0.000
1737558639.609,-33.691,-22.461,-36.133,-11.230,0.000
1737558639.613,-40.527,-17.090,-20.996,-60.547,0.000
1737558639.617,-25.879,-24.414,-14.160,-44.922,0.000
1737558639.621,-5.371,-24.902,-9.766,34.668,0.000
1737558639.624,-6.348,-19.531,-18.066,82.031,0.000
1737558639.628,-29.785,-23.438,-41.504,29.297,0.000
1737558639.632,-39.062,-21.973,-34.180,-24.902,0.000
1737558639.636,-23.438,-17.090,-15.137,-11.230,0.000
1737558639.640,-4.395,-20.020,-13.184,37.598,0.000
1737558639.644,5.859,-15.137,-10.254,69.336,0.000
1737558639.648,-19.043,-17.578,-19.531,-7.324,0.000
1737558639.652,-34.180,-24.414,-38.086,-95.703,0.000
1737558639.656,-14.160,-17.090,-31.250,-76.172,0.000
1737558639.660,7.324,-13.672,-20.508,-5.371,0.000
1737558639.663,23.438,-12.695,-12.695,51.270,0.000
1737558639.667,-4.395,-14.160,-5.859,4.883,0.000
1737558639.671,-33.203,-21.973,-13.184,-62.012,0.000
1737558639.675,-14.648,-19.531,-17.090,-37.109,0.000
1737558639.679,11.719,-9.277,-11.719,25.391,0.000
1737558639.683,19.043,-3.418,-18.555,0.000,0.000
1737558639.687,2.930,-1.953,-24.902,0.000,0.000
1737558639.691,-23.926,-10.254,-24.414,0.000,0.000
1737558639.695,-32.227,-19.043,-26.367,0.000,0.000
1737558639.699,-3.906,-16.113,-26.855,0.000,0.000
1737558639.703,13.672,-5.371,-24.902,0.000,0.000
1737558639.706,-17.578,-14.648,-23.438,0.000,0.000
1737558639.710,-55.176,-26.855,-22.461,0.000,0.000
1737558639.714,-51.758,-23.438,-20.508,0.000,0.000
1737558639.718,-20.020,-20.996,-18.555,0.000,0.000
1737558639.722,-5.371,-20.020,-18.066,0.000,0.000
1737558639.726,-27.832,-23.926,-18.555,0.000,0.000
1737558639.730,-51.758,-26.367,-26.367,20.020,0.000
1737558639.734,-46.387,-21.973,-30.762,14.160,0.000
1737558639.738,-31.738,-20.020,-20.508,71.289,0.000
1737558639.742,-24.902,-17.090,-11.719,121.094,0.000
1737558639.746,-26.855,-15.625,-7.324,104.004,0.000
1737558639.749,-49.316,-17.090,-14.648,21.484,0.000
1737558639.753,-61.523,-18.555,-21.484,-25.391,0.000
1737558639.757,-34.668,-23.926,-16.602,5.371,0.000
1737558639.761,3.418,-20.996,-16.602,67.871,0.000
1737558639.765,-17.578,-18.555,-22.949,63.965,0.000
1737558639.769,-50.781,-20.020,-25.879,-20.996,0.000
1737558639.773,-40.039,-22.461,-22.949,-67.871,0.000
1737558639.777,0.000,-22.949,-13.672,-37.598,0.000
1737558639.781,0.000,-18.066,-7.812,16.113,0.000
1737558639.785,0.000,-19.043,-6.836,26.367,0.000
1737558639.789,0.000,-24.902,-6.836,-44.434,0.000
1737558639.793,0.000,-25.391,-9.277,-79.102,0.000
1737558639.796,0.000,-18.555,-7.812,-22.949,0.000
1737558639.800,0.000,-15.625,-5.371,70.312,0.000
1737558639.804,0.000,-24.414,-6.348,88.867,0.000
1737558639.808,0.000,-35.156,-18.555,2.441,0.000
1737558639.812,0.000,-32.715,-32.227,-57.617,0.000
1737558639.816,0.000,-27.832,-31.738,-36.621,0.000
1737558639.820,0.000,-18.555,-18.555,32.715,0.000
1737558639.824,1.465,-16.602,-10.742,79.590,0.000
1737558639.828,-16.113,-25.879,-18.066,7.812,0.000
1737558639.832,-34.180,-26.367,-24.414,-77.148,0.000
1737558639.836,-9.277,-18.555,-20.996,-46.875,0.000
1737558639.839,13.672,-11.230,-15.137,32.227,0.000
1737558639.843,5.859,-13.672,-14.648,84.961,0.000
1737558639.847,-20.020,-19.043,-21.484,40.039,0.000
1737558639.851,-44.434,-21.973,-31.250,-49.316,0.000
1737558639.855,-29.785,-22.949,-31.738,-43.457,0.000
1737558639.859,-9.277,-16.602,-28.809,21.973,0.000
1737558639.863,-6.348,-12.695,-25.391,85.449,0.000
1737558639.867,-22.949,-17.090,-21.973,70.312,0.000
1737558639.871,-52.246,-17.090,-26.855,3.418,0.000
1737558639.875,-39.551,-19.043,-28.809,-3.418,0.000
1737558639.879,-11.230,-20.020,-22.949,44.922,0.000
1737558639.882,-2.930,-18.066,-18.066,91.309,0.000
1737558639.886,-18.066,-20.508,-12.695,76.172,0.000
1737558639.890,-48.340,-30.273,-16.602,-7.324,0.000
1737558639.894,-59.082,-28.320,-19.043,-40.039,0.000
1737558639.898,-30.273,-22.949,-14.160,15.137,0.000
1737558639.902,-1.953,-21.973,-8.301,83.984,0.000
1737558639.906,-30.273,-25.391,-9.277,71.289,0.000
1737558639.910,-63.477,-31.738,-19.043,0.977,0.000
1737558639.914,-52.246,-30.762,-22.949,-18.555,0.000
1737558639.918,-20.508,-31.738,0.000,37.598,0.000
1737558639.922,-0.977,-28.809,0.000,129.883,0.000
1737558639.925,-17.090,-27.344,0.000,147.949,0.000
1737558639.929,-56.152,-35.156,0.000,66.406,0.000
1737558639.933,-62.012,-35.156,0.000,32.715,0.000
1737558639.937,-36.133,-25.879,0.000,77.637,0.000
1737558639.941,-3.418,-20.996,0.000,128.418,0.000
1737558639.945,-8.301,-26.367,0.000,127.930,0.000
1737558639.949,-41.016,-30.273,0.000,62.500,0.000
1737558639.953,-42.969,-25.879,0.000,18.066,0.000
1737558639.957,-16.602,-22.949,0.000,47.852,0.000
1737558639.961,-5.859,-23.438,0.000,106.445,0.000
1737558639.965,-2.930,-19.043,-11.230,136.719,0.000
1737558639.968,-7.812,-20.020,-23.438,70.801,0.000
1737558639.972,-27.832,-24.414,-30.273,-3.418,0.000
1737558639.976,-21.973,-22.461,-31.250,11.719,0.000
1737558639.980,6.348,-14.160,-22.461,75.195,0.000
1737558639.984,11.719,-8.789,-15.137,116.699,0.000
1737558639.988,-9.766,-14.648,-21.973,62.500,0.000
1737558639.992,-41.504,-22.949,-27.832,-1.953,0.000
1737558639.996,-45.410,-21.973,-23.926,-7.812,0.000
1737558640.000,-14.160,-24.902,-14.648,39.551,0.000
1737558640.004,11.719,-19.531,-7.324,97.656,0.000
