timestamps,TP9,AF7,AF8,TP10,Right AUX
1737557721.038,-34.180,-23.438,-8.301,-9.766,0.000
1737557721.042,-32.715,-21.973,-16.602,-41.016,0.000
1737557721.046,-37.109,-20.020,-30.273,-33.691,0.000
1737557721.050,-38.086,-19.531,-26.367,-28.320,0.000
1737557721.054,-21.484,-16.602,-7.812,-32.715,0.000
1737557721.058,-22.949,-7.812,-1.953,-56.641,0.000
1737557721.062,-55.176,-13.184,-13.672,-66.406,0.000
1737557721.065,-59.570,-27.344,-18.555,-30.762,0.000
1737557721.069,-6.836,-24.902,-21.484,0.000,0.000
1737557721.073,31.738,-19.043,-25.879,-4.883,0.000
1737557721.077,7.324,-24.902,-24.414,-15.625,0.000
1737557721.081,-33.203,-22.461,-25.879,-11.719,0.000
1737557721.085,-33.203,-20.508,-14.648,0.000,0.000
1737557721.089,-20.020,-12.695,-14.160,0.000,0.000
1737557721.093,-15.137,-7.324,-21.484,0.000,0.000
1737557721.097,-7.324,-8.301,-26.855,0.000,0.000
1737557721.101,-43.457,-8.789,-32.715,0.000,0.000
1737557721.104,-35.645,-4.883,-7.324,0.000,0.000
1737557721.108,26.855,0.977,9.277,0.000,0.000
1737557721.112,37.598,-7.324,6.836,0.000,0.000
1737557721.116,-4.883,-15.137,4.395,0.000,0.000
1737557721.120,-39.551,-13.184,4.883,0.000,0.000
1737557721.124,-36.621,-10.742,-11.230,0.000,0.000
1737557721.128,-15.625,-7.812,-26.367,0.000,0.000
1737557721.132,15.137,-3.418,-12.207,-41.992,0.000
1737557721.136,-1.465,-5.859,3.906,-20.996,0.000
1737557721.140,-20.508,-7.812,11.719,5.371,0.000
1737557721.144,-9.277,-15.625,9.277,11.719,0.000
1737557721.147,-4.883,-24.414,6.348,16.602,0.000
1737557721.151,14.648,-14.160,8.301,35.645,0.000
1737557721.155,13.672,-17.090,-8.301,29.785,0.000
1737557721.159,-11.719,-20.020,-19.043,-17.090,0.000
1737557721.163,-31.738,-14.160,-7.812,-46.387,0.000
1737557721.167,-36.133,-17.090,-5.371,-3.906,0.000
1737557721.171,8.301,-13.672,-4.395,10.742,0.000
1737557721.175,31.250,-12.695,-7.812,-34.180,0.000
1737557721.179,-19.043,-26.367,-26.855,-40.039,0.000
1737557721.183,-62.500,-34.180,-21.973,-6.836,0.000
1737557721.187,-18.066,-31.250,-3.906,-6.836,0.000
1737557721.190,21.973,-23.926,-2.930,-13.672,0.000
1737557721.194,14.160,-13.672,-5.859,-8.301,0.000
1737557721.198,0.977,-10.254,-8.789,-8.789,0.000
1737557721.202,-22.949,-12.207,-8.789,-2.930,0.000
1737557721.206,-23.926,-7.324,-1.953,7.324,0.000
1737557721.210,-16.602,-5.859,0.000,-1.953,0.000
1737557721.214,-4.883,-12.695,-4.883,6.836,0.000
1737557721.218,-5.371,-24.414,-11.230,-11.719,0.000
1737557721.222,-41.504,-33.691,-11.719,-7.324,0.000
1737557721.226,0.000,-23.926,0.000,0.000,0.000
1737557721.230,0.000,-12.695,0.000,0.000,0.000
1737557721.233,0.000,-6.348,0.000,0.000,0.000
1737557721.237,0.000,-1.465,0.000,0.000,0.000
1737557721.241,0.000,-5.859,0.000,0.000,0.000
1737557721.245,0.000,-15.625,0.000,0.000,0.000
1737557721.249,0.000,-19.043,0.000,0.000,0.000
1737557721.253,0.000,-20.996,0.000,0.000,0.000
1737557721.257,0.000,-21.973,0.000,0.000,0.000
1737557721.261,0.000,-27.832,0.000,0.000,0.000
1737557721.265,0.000,-26.367,0.000,0.000,0.000
1737557721.268,0.000,-26.855,0.000,0.000,0.000
1737557721.273,-14.160,-33.203,-31.738,-5.859,0.000
1737557721.276,-15.137,-16.602,-36.621,-22.461,0.000
1737557721.280,-30.762,-13.672,-13.672,-30.762,0.000
1737557721.284,-7.324,-24.414,4.883,8.301,0.000
1737557721.288,0.488,-23.438,-1.465,21.973,0.000
1737557721.292,10.254,-15.137,-11.719,5.859,0.000
1737557721.296,-5.859,-25.879,-4.395,-20.508,0.000
1737557721.300,-47.363,-37.109,17.578,-29.297,0.000
1737557721.304,-71.777,-45.898,26.855,-27.832,0.000
1737557721.308,-70.801,-61.035,8.301,-20.020,0.000
1737557721.312,-47.363,-67.871,0.977,-41.504,0.000
1737557721.315,-25.879,-71.289,10.742,-49.805,0.000
1737557721.319,-66.406,-83.984,11.230,-19.043,0.000
1737557721.323,-87.402,-95.703,7.324,-19.531,0.000
1737557721.327,-35.156,-86.914,7.324,17.090,0.000
1737557721.331,11.719,-79.102,7.812,-20.508,0.000
1737557721.335,-16.602,-89.355,17.578,-34.668,0.000
1737557721.339,-72.266,-92.285,36.621,25.391,0.000
1737557721.343,-58.105,-82.520,37.598,-8.789,0.000
1737557721.347,-43.945,-78.613,18.555,-16.113,0.000
1737557721.351,-25.391,-78.125,9.766,28.809,0.000
1737557721.355,-3.418,-77.148,12.695,26.855,0.000
1737557721.358,-24.414,-66.895,-10.254,-8.789,0.000
1737557721.362,-38.086,-58.105,-25.879,-17.090,0.000
1737557721.366,0.000,-66.406,-8.789,-15.625,0.000
1737557721.370,0.000,-66.406,3.906,-25.879,0.000
1737557721.374,0.000,-65.430,-2.930,-23.926,0.000
1737557721.378,0.000,-70.312,-8.301,-37.109,0.000
1737557721.382,0.000,-69.824,-9.766,-27.832,0.000
1737557721.386,0.000,-65.918,-8.301,16.602,0.000
1737557721.390,0.000,-65.430,-16.602,8.789,0.000
1737557721.394,0.000,-61.035,-27.832,-8.301,0.000
1737557721.397,0.000,-46.387,-41.016,-9.277,0.000
1737557721.401,0.000,-40.039,-42.480,-39.551,0.000
1737557721.405,0.000,-40.527,-10.742,-33.691,0.000
1737557721.409,0.000,-42.480,-8.301,-8.301,0.000
1737557721.413,-14.648,-51.270,-24.414,-2.930,0.000
1737557721.417,-33.691,-50.781,-20.996,-11.719,0.000
1737557721.421,-52.246,-40.039,-23.926,-35.156,0.000
1737557721.425,-63.965,-41.504,-28.809,-23.438,0.000
1737557721.429,-19.531,-42.480,-18.555,16.113,0.000
1737557721.433,39.062,-31.250,-6.836,-17.578,0.000
1737557721.437,-1.465,-31.250,-8.789,-76.172,0.000
1737557721.440,-43.457,-41.992,-8.301,-6.348,0.000
1737557721.444,-10.254,-28.320,-0.977,41.504,0.000
1737557721.448,-10.742,-18.555,2.441,5.859,0.000
1737557721.452,-12.207,-26.855,-9.766,-13.672,0.000
1737557721.456,-7.324,-25.391,-23.438,-0.488,0.000
1737557721.460,-29.297,-27.344,-23.926,5.371,0.000
1737557721.464,-39.551,-28.809,-20.996,-15.137,0.000
1737557721.468,0.000,-22.949,-14.648,-16.602,0.000
1737557721.472,30.273,-24.414,-17.578,1.953,0.000
1737557721.476,-3.418,-29.785,-23.438,-29.297,0.000
1737557721.480,-56.641,-23.926,-18.066,-49.805,0.000
1737557721.483,-42.480,-22.949,-13.672,-25.879,0.000
1737557721.487,-16.602,-27.832,-12.207,-20.996,0.000
1737557721.491,-12.207,-23.438,-9.766,-27.832,0.000
1737557721.495,-2.930,-25.879,-11.230,-35.645,0.000
1737557721.499,-1.465,-24.414,-11.230,-26.367,0.000
1737557721.503,-21.973,-13.672,-13.184,-37.598,0.000
1737557721.507,-17.578,-11.719,-3.906,-14.160,0.000
1737557721.511,14.648,-9.766,-3.906,20.508,0.000
1737557721.515,16.113,-18.066,-20.508,-9.766,0.000
1737557721.519,-22.949,-21.973,-15.137,-10.742,0.000
1737557721.523,-70.801,-13.184,-18.555,-8.301,0.000
1737557721.526,-40.527,-12.207,-17.090,-18.066,0.000
1737557721.530,-10.742,-18.555,-11.719,-16.602,0.000
1737557721.534,-8.301,-31.250,-16.602,-35.645,0.000
1737557721.538,-30.273,-41.504,-14.160,-52.246,0.000
1737557721.542,-62.012,-31.738,-8.301,3.418,0.000
1737557721.546,-41.016,-10.742,-9.277,2.441,0.000
1737557721.550,-21.973,-7.812,-7.812,-37.109,0.000
1737557721.554,0.000,-11.719,-0.977,0.000,0.000
1737557721.558,0.000,-16.602,-10.742,0.000,0.000
1737557721.562,0.000,-19.043,-20.020,0.000,0.000
1737557721.566,0.000,-23.926,-16.113,0.000,0.000
1737557721.569,0.000,-24.902,-19.043,0.000,0.000
1737557721.573,0.000,-17.578,-17.090,0.000,0.000
1737557721.577,0.000,-16.602,-15.137,0.000,0.000
1737557721.581,0.000,-21.484,-21.973,0.000,0.000
1737557721.585,0.000,-31.738,-21.973,0.000,0.000
1737557721.589,0.000,-29.785,-19.043,0.000,0.000
1737557721.593,0.000,-26.855,-24.414,0.000,0.000
1737557721.597,0.000,-36.621,-29.785,0.000,0.000
1737557721.601,-47.363,-36.133,-32.227,-44.922,0.000
1737557721.605,-61.035,-31.738,-26.367,-45.410,0.000
1737557721.609,-44.922,-28.320,-19.531,-50.781,0.000
1737557721.612,-8.301,-25.879,-17.578,-22.461,0.000
1737557721.616,-0.488,-24.902,-13.184,-9.277,0.000
1737557721.620,-33.691,-17.578,-17.578,-19.043,0.000
1737557721.624,-45.410,-16.602,-27.344,-1.465,0.000
1737557721.628,-29.297,-23.438,-29.297,-13.672,0.000
1737557721.632,2.930,-20.020,-32.227,-22.461,0.000
1737557721.636,7.324,-16.113,-34.180,-44.434,0.000
1737557721.640,-26.367,-20.996,-26.855,-59.570,0.000
1737557721.644,-33.691,-16.113,-18.555,-20.020,0.000
1737557721.648,-38.574,-24.414,-20.508,-7.324,0.000
1737557721.652,-29.785,-38.086,-19.531,-5.371,0.000
1737557721.655,-6.348,-22.949,-14.648,-19.043,0.000
1737557721.659,-25.391,-15.137,-17.090,-48.828,0.000
1737557721.663,-34.668,-18.066,-18.555,-26.367,0.000
1737557721.667,-6.348,-12.695,-20.996,-1.465,0.000
1737557721.671,5.859,-10.742,-11.230,-15.137,0.000
1737557721.675,6.836,-11.719,-7.324,-16.602,0.000
1737557721.679,-21.973,-18.066,-9.766,-25.879,0.000
1737557721.683,-80.566,-21.484,-5.859,-37.109,0.000
1737557721.687,-48.828,-10.742,-20.996,-19.043,0.000
1737557721.691,19.043,-1.953,-27.344,-6.836,0.000
1737557721.695,12.695,-14.160,-24.902,-43.457,0.000
1737557721.698,-34.180,-19.531,-22.461,-66.895,0.000
1737557721.702,-47.363,-12.207,-15.137,-12.695,0.000
1737557721.706,-31.738,-12.207,-9.766,-6.836,0.000
1737557721.710,-13.184,-18.555,-8.301,-21.973,0.000
1737557721.714,-1.953,-16.113,-14.160,-8.301,0.000
1737557721.718,-12.207,-10.254,-27.832,-20.508,0.000
1737557721.722,-37.598,-16.113,-42.969,-27.832,0.000
1737557721.726,-35.156,-20.996,-30.273,-0.488,0.000
1737557721.730,-1.953,-25.879,-11.719,-13.184,0.000
1737557721.733,4.395,-21.484,-6.836,-48.828,0.000
1737557721.737,-27.832,-22.461,-10.742,-56.641,0.000
1737557721.741,-51.758,-31.250,-23.926,0.000,0.000
1737557721.745,-52.246,-23.438,-18.066,0.000,0.000
1737557721.749,-21.484,-16.602,-18.555,0.000,0.000
1737557721.753,18.066,-14.648,-29.297,0.000,0.000
1737557721.757,-1.465,-23.438,-22.461,0.000,0.000
1737557721.761,-42.480,-20.996,-16.113,0.000,0.000
1737557721.765,-55.176,-14.160,-14.648,0.000,0.000
1737557721.769,-45.898,-23.438,-25.391,0.000,0.000
1737557721.773,-3.906,-28.809,-34.180,0.000,0.000
1737557721.776,0.977,-37.109,-20.020,0.000,0.000
1737557721.780,-27.344,-38.086,-10.254,0.000,0.000
1737557721.784,-46.387,-26.855,-21.973,0.000,0.000
1737557721.788,0.000,-19.043,0.000,-53.711,0.000
1737557721.792,0.000,-17.578,0.000,-33.691,0.000
1737557721.796,0.000,-21.973,0.000,-38.086,0.000
1737557721.800,0.000,-24.902,0.000,-66.406,0.000
1737557721.804,0.000,-26.855,0.000,-40.039,0.000
1737557721.808,0.000,-29.785,0.000,12.207,0.000
