timestamps,TP9,AF7,AF8,TP10,Right AUX
1737551543.354,-7.324,-18.066,-13.184,-367.188,0.000
1737551543.358,-34.668,-22.949,-18.555,-925.781,0.000
1737551543.361,-50.781,-23.438,-21.484,-834.473,0.000
1737551543.365,-13.672,-13.672,-16.602,599.121,0.000
1737551543.369,2.441,-10.254,-13.672,530.762,0.000
1737551543.373,-13.672,-7.324,-18.066,-311.523,0.000
1737551543.377,-20.996,-2.930,-17.090,-714.844,0.000
1737551543.381,-21.973,-7.324,-14.160,-895.020,0.000
1737551543.385,-5.371,-4.395,-14.160,475.098,0.000
1737551543.389,-4.883,-10.742,-16.602,562.012,0.000
1737551543.393,-20.508,-17.090,-10.742,-314.453,0.000
1737551543.397,-19.043,-12.695,-9.766,-585.938,0.000
1737551543.401,-24.902,-19.043,-15.625,-979.980,0.000
1737551543.404,-9.277,-19.531,-14.160,193.359,0.000
1737551543.408,9.766,-11.230,-9.277,871.094,0.000
1737551543.412,-12.207,-21.484,-16.113,-272.949,0.000
1737551543.416,-36.621,-32.227,-27.344,-968.262,0.000
1737551543.420,-32.227,-24.414,-19.531,-896.484,0.000
1737551543.424,-0.488,-12.695,-10.742,324.219,0.000
1737551543.428,10.742,-14.648,-16.602,536.621,0.000
1737551543.432,-12.207,-17.578,-15.137,-217.773,0.000
1737551543.436,-18.066,-18.066,-17.090,-379.883,0.000
1737551543.440,-29.785,-28.809,-22.461,-961.426,0.000
1737551543.444,-28.809,-27.832,-21.484,-117.676,0.000
1737551543.447,-4.395,-20.996,-20.996,903.320,0.000
1737551543.451,-7.812,-19.531,-18.555,81.055,0.000
1737551543.455,-31.250,-16.602,-16.113,-534.180,0.000
1737551543.459,-51.270,-25.879,-18.555,-949.219,0.000
1737551543.463,-33.203,-27.832,-20.996,-276.855,0.000
1737551543.467,0.000,-13.184,-13.184,908.203,0.000
1737551543.471,-1.465,-17.578,-5.859,197.266,0.000
1737551543.475,-23.926,-27.832,-9.766,-706.055,0.000
1737551543.479,-43.457,-25.879,-18.066,-1000.000,0.000
1737551543.483,-34.180,-20.020,-18.555,-252.930,0.000
1737551543.486,-6.348,-17.578,-10.254,891.113,0.000
1737551543.490,-3.906,-20.508,-7.812,254.883,0.000
1737551543.494,-22.461,-20.020,-12.695,-522.949,0.000
1737551543.498,-32.715,-20.996,-17.578,-959.473,0.000
1737551543.502,-26.367,-23.438,-17.090,-620.117,0.000
1737551543.506,-5.371,-16.602,-15.137,760.742,0.000
1737551543.510,-4.883,-14.648,-13.184,655.762,0.000
1737551543.514,-29.297,-16.113,-13.672,-281.250,0.000
1737551543.518,-41.504,-22.949,-19.043,-954.102,0.000
1737551543.522,-45.898,-25.391,-21.484,-783.203,0.000
1737551543.526,-20.996,-19.531,-16.602,633.301,0.000
1737551543.529,0.977,-17.090,-14.648,630.859,0.000
1737551543.533,-23.438,-22.949,-11.230,-442.383,0.000
1737551543.537,-34.180,-26.855,-17.578,-974.121,0.000
1737551543.541,-30.762,-20.996,-26.855,-840.332,0.000
1737551543.545,-7.324,-10.254,-24.414,546.387,0.000
1737551543.549,12.695,-3.906,-17.578,685.547,0.000
1737551543.553,12.207,-5.371,-17.090,-243.164,0.000
1737551543.557,-3.418,-9.766,-20.996,-796.387,0.000
1737551543.561,-14.648,-12.207,-19.043,-968.750,0.000
1737551543.565,2.930,-8.301,-15.137,401.367,0.000
1737551543.569,5.859,-9.277,-15.625,792.969,0.000
1737551543.572,-9.766,-18.555,-17.090,-311.523,0.000
1737551543.576,-35.645,-23.438,-20.996,-791.016,0.000
1737551543.580,-50.293,-24.902,-24.902,-989.746,0.000
1737551543.584,-21.484,-19.043,-22.461,152.344,0.000
1737551543.588,0.977,-13.184,-19.043,944.824,0.000
1737551543.592,-20.020,-20.020,-20.996,-39.551,0.000
1737551543.596,-41.992,-25.879,-20.508,-811.523,0.000
1737551543.600,-47.363,-28.320,-22.461,-1000.000,0.000
1737551543.604,-29.785,-17.090,-25.391,63.477,0.000
1737551543.608,-7.812,-10.742,-20.020,999.512,0.000
1737551543.611,-41.992,-22.949,-20.508,142.090,0.000
1737551543.615,-56.641,-21.973,-22.949,-863.281,0.000
1737551543.619,-46.875,-30.762,-22.949,-1000.000,0.000
1737551543.623,-64.453,-17.090,-7.324,-390.137,0.000
1737551543.627,-44.434,16.113,8.301,860.840,0.000
1737551543.631,-53.223,-6.348,-0.977,152.344,0.000
1737551543.635,-100.098,-20.508,-20.996,-931.641,0.000
1737551543.639,-155.762,20.508,-18.555,-1000.000,0.000
1737551543.643,-171.387,23.438,34.180,-721.191,0.000
1737551543.647,-136.719,-0.488,31.738,45.898,0.000
1737551543.651,-190.918,-13.184,-31.738,-656.250,0.000
1737551543.654,-259.766,-9.277,-36.621,-1000.000,0.000
1737551543.658,-319.336,-2.441,-19.043,-946.289,0.000
1737551543.662,-383.301,1.953,-16.602,-1000.000,0.000
1737551543.666,-395.020,-10.254,-7.324,-872.070,0.000
1737551543.670,-395.020,-10.254,-4.395,-887.207,0.000
1737551543.674,-393.066,2.441,-7.812,-1000.000,0.000
1737551543.678,-388.672,13.672,-15.625,-986.816,0.000
1737551543.682,-417.480,6.348,-19.531,-987.305,0.000
1737551543.686,-411.621,7.812,-13.184,-1000.000,0.000
1737551543.690,-387.207,3.906,-20.996,-536.133,0.000
1737551543.694,-360.840,1.953,-31.250,-147.949,0.000
1737551543.697,-348.145,3.906,-39.551,-826.660,0.000
1737551543.701,-350.586,0.488,-44.434,-1000.000,0.000
1737551543.705,-318.848,1.953,-49.316,169.434,0.000
1737551543.709,-286.133,7.324,-41.504,960.449,0.000
1737551543.713,-289.551,7.812,-39.062,-414.551,0.000
1737551543.717,-290.039,3.418,-46.387,-1000.000,0.000
1737551543.721,-280.273,2.441,-41.992,-1000.000,0.000
1737551543.725,-264.160,-0.977,-39.062,-823.242,0.000
1737551543.729,-213.379,6.836,-38.086,328.613,0.000
1737551543.733,-193.359,3.418,-34.668,-133.789,0.000
1737551543.736,-193.359,3.906,-33.203,-1000.000,0.000
1737551543.740,-177.734,6.836,-28.809,-1000.000,0.000
1737551543.744,-150.391,-1.465,-27.344,-347.656,0.000
1737551543.748,-106.445,0.488,-23.438,945.312,0.000
1737551543.752,-86.914,3.418,-21.973,641.602,0.000
1737551543.756,-98.145,-15.137,-27.832,-727.539,0.000
1737551543.760,-81.543,-29.785,-31.738,-1000.000,0.000
1737551543.764,-52.734,-24.414,-38.086,-241.211,0.000
1737551543.768,-29.297,-17.578,-41.016,930.176,0.000
1737551543.772,-21.484,-22.461,-36.621,148.438,0.000
1737551543.776,-25.391,-29.297,-38.574,-926.270,0.000
1737551543.779,-7.324,-40.527,-41.504,-1000.000,0.000
1737551543.783,16.113,-35.645,-43.457,-831.055,0.000
1737551543.787,49.805,-26.855,-37.598,545.410,0.000
1737551543.791,84.473,-30.762,-30.762,853.027,0.000
1737551543.795,79.102,-33.203,-29.785,-486.816,0.000
1737551543.799,57.617,-36.133,-34.180,-1000.000,0.000
1737551543.803,69.824,-41.016,-33.691,-695.801,0.000
1737551543.807,109.375,-38.086,-29.297,697.266,0.000
1737551543.811,118.164,-40.527,-32.715,999.512,0.000
1737551543.815,129.395,-41.504,-27.344,-171.875,0.000
1737551543.818,125.000,-38.574,-25.879,-1000.000,0.000
1737551543.822,118.652,-36.621,-29.785,-775.391,0.000
1737551543.826,157.715,-36.133,-27.832,677.734,0.000
1737551543.830,167.480,-39.062,-26.367,999.512,0.000
1737551543.834,142.090,-42.480,-25.879,-285.156,0.000
1737551543.838,142.090,-43.457,-24.902,-1000.000,0.000
1737551543.842,146.973,-41.504,-25.879,-780.273,0.000
1737551543.846,164.551,-37.109,-33.203,575.195,0.000
1737551543.850,181.641,-39.062,-33.203,999.512,0.000
1737551543.854,172.363,-38.086,-27.832,398.438,0.000
1737551543.858,139.648,-40.527,-26.367,-867.188,0.000
1737551543.861,138.672,-31.250,-23.438,-941.895,0.000
1737551543.865,158.691,-33.203,-21.484,536.133,0.000
1737551543.869,149.414,-34.668,-23.438,999.512,0.000
1737551543.873,121.582,-23.926,-28.320,413.086,0.000
1737551543.877,93.750,-22.461,-29.785,-790.039,0.000
1737551543.881,75.195,-13.184,-32.227,-1000.000,0.000
1737551543.885,71.777,-4.883,-26.855,160.645,0.000
1737551543.889,64.941,8.301,-20.020,999.512,0.000
1737551543.893,50.781,16.602,-13.184,618.164,0.000
1737551543.897,24.902,-2.441,-19.531,-662.598,0.000
1737551543.901,-41.504,-8.789,-34.668,-1000.000,0.000
1737551543.904,-81.543,-1.953,-38.574,-355.469,0.000
1737551543.908,-79.590,20.508,-33.203,901.855,0.000
1737551543.912,-128.418,35.156,-29.297,360.352,0.000
1737551543.916,-194.824,24.902,-29.785,-857.910,0.000
1737551543.920,-233.887,11.719,-21.973,-1000.000,0.000
1737551543.924,-250.488,-7.324,-7.812,-741.699,0.000
1737551543.928,-240.723,-5.371,-5.859,738.770,0.000
1737551543.932,-249.512,-3.906,-2.930,749.023,0.000
1737551543.936,-285.156,-12.207,4.883,-705.078,0.000
1737551543.940,-312.500,-28.320,1.465,-1000.000,0.000
1737551543.943,-289.062,-36.133,0.000,-782.715,0.000
1737551543.947,-240.723,-25.391,12.695,664.062,0.000
1737551543.951,-229.980,-20.508,15.625,919.434,0.000
1737551543.955,-232.910,-24.902,9.766,-531.250,0.000
1737551543.959,-219.238,-12.207,8.789,-1000.000,0.000
1737551543.963,-208.008,-5.859,9.277,-547.363,0.000
1737551543.967,-192.871,-4.883,10.254,722.656,0.000
1737551543.971,-166.016,-6.348,9.766,999.512,0.000
1737551543.975,-151.855,-16.113,4.883,362.793,0.000
1737551543.979,-170.898,-15.625,2.441,-909.180,0.000
1737551543.983,-165.527,-13.184,0.977,-789.062,0.000
1737551543.986,-113.281,-11.230,-1.465,677.246,0.000
1737551543.990,-82.031,-14.160,-4.883,999.512,0.000
1737551543.994,-68.848,-19.043,-7.812,426.270,0.000
1737551543.998,-79.590,-25.391,-11.719,-865.723,0.000
1737551544.002,-58.594,-27.832,-10.742,-939.453,0.000
1737551544.006,-13.672,-27.832,-12.207,554.199,0.000
1737551544.010,12.695,-25.391,-13.672,999.512,0.000
