timestamps,TP9,AF7,AF8,TP10,Right AUX
1737550313.838,120.117,-20.020,-17.090,894.043,0.000
1737550313.842,-25.391,-20.996,-25.879,-235.840,0.000
1737550313.846,-144.531,-32.715,-27.832,-1000.000,0.000
1737550313.850,-8.301,-30.273,-20.508,-496.582,0.000
1737550313.854,148.926,-19.531,-12.695,845.703,0.000
1737550313.857,144.043,-18.066,-12.695,990.723,0.000
1737550313.861,19.043,-13.672,-18.066,-166.992,0.000
1737550313.865,-97.656,-29.297,-15.137,-1000.000,0.000
1737550313.869,-100.586,-37.598,-14.648,-772.461,0.000
1737550313.873,41.016,-20.020,-8.789,464.355,0.000
1737550313.877,163.574,-9.277,-17.578,999.512,0.000
1737550313.881,37.109,-13.672,-23.438,28.320,0.000
1737550313.885,-113.770,-18.555,-13.184,-1000.000,0.000
1737550313.889,-122.070,-26.367,-15.625,-913.574,0.000
1737550313.893,-6.836,-27.832,-22.461,272.461,0.000
1737550313.896,60.547,-10.254,-32.715,999.512,0.000
1737550313.900,-44.922,-14.648,-37.109,90.332,0.000
1737550313.904,-202.637,-23.438,-21.973,-1000.000,0.000
1737550313.908,-246.582,-16.602,-10.742,-983.398,0.000
1737550313.912,-127.930,-19.531,-6.348,128.906,0.000
1737550313.916,-50.781,-18.555,-6.348,999.512,0.000
1737550313.920,-167.969,-22.949,-17.090,86.426,0.000
1737550313.924,-330.566,-32.227,-24.414,-1000.000,0.000
1737550313.928,-436.035,-14.648,-29.297,-1000.000,0.000
1737550313.932,-323.242,-3.906,-16.113,-2.930,0.000
1737550313.936,-188.477,-9.766,-13.672,999.512,0.000
1737550313.939,-292.969,-11.230,-21.484,464.844,0.000
1737550313.943,-477.539,-12.695,-23.438,-793.945,0.000
1737550313.947,-555.664,-17.578,-16.602,-1000.000,0.000
1737550313.951,-435.547,-10.254,-2.930,23.926,0.000
1737550313.955,-315.430,-6.836,-4.395,999.512,0.000
1737550313.959,-400.391,-27.832,-16.602,432.617,0.000
1737550313.963,-552.246,-34.180,-23.438,-819.336,0.000
1737550313.967,-593.750,-14.648,-13.184,-1000.000,0.000
1737550313.971,-472.168,-7.324,-10.254,-41.016,0.000
1737550313.975,-348.145,-3.906,-20.508,999.512,0.000
1737550313.979,-389.160,-13.184,-17.090,652.344,0.000
1737550313.982,-501.465,-23.438,-18.555,-506.348,0.000
1737550313.986,-590.820,-25.879,-5.859,-1000.000,0.000
1737550313.990,-538.574,-32.227,-13.672,-285.156,0.000
1737550313.994,-372.559,-22.949,-33.203,966.797,0.000
1737550313.998,-322.754,-7.812,-12.207,972.656,0.000
1737550314.002,-432.129,-8.301,-5.859,-11.719,0.000
1737550314.006,-575.195,-18.066,-17.578,-1000.000,0.000
1737550314.010,-520.508,-18.555,-19.531,-564.941,0.000
1737550314.014,-343.262,-13.672,-21.973,861.328,0.000
1737550314.018,-357.422,-20.508,-16.602,794.922,0.000
1737550314.021,-473.633,-33.203,-23.438,-454.590,0.000
1737550314.025,-479.004,-36.133,-41.016,-1000.000,0.000
1737550314.029,-427.734,-28.809,-33.203,-591.797,0.000
1737550314.033,-298.340,-18.555,-38.574,700.195,0.000
1737550314.037,-231.934,-20.020,-38.086,999.512,0.000
1737550314.041,-335.938,-27.344,-35.645,4.883,0.000
1737550314.045,-463.867,-29.297,-29.785,-1000.000,0.000
1737550314.049,-428.223,-19.043,-25.391,-634.766,0.000
1737550314.053,-266.602,-17.578,-31.250,667.480,0.000
