timestamps,TP9,AF7,AF8,TP10,Right AUX
1737551379.583,69.336,-38.574,-16.602,324.219,0.000
1737551379.587,57.617,-35.156,-24.414,316.895,0.000
1737551379.590,0.000,-23.926,-25.391,-44.922,0.000
1737551379.594,6.836,-32.227,-24.902,-389.648,0.000
1737551379.598,29.785,-40.527,-16.602,-101.074,0.000
1737551379.602,26.855,-26.855,2.441,261.230,0.000
1737551379.606,-25.879,3.906,-24.902,226.562,0.000
1737551379.610,-36.621,-20.996,-36.133,-35.156,0.000
1737551379.614,12.695,-36.621,-16.113,-372.559,0.000
1737551379.618,24.414,-26.855,-6.348,-225.586,0.000
1737551379.622,-6.348,-35.645,0.000,165.527,0.000
1737551379.626,36.133,-18.555,-27.344,317.383,0.000
1737551379.629,94.727,-22.949,-34.668,217.773,0.000
1737551379.633,34.668,-2.441,-36.133,-168.457,0.000
1737551379.637,-7.812,-16.113,-21.484,-74.707,0.000
1737551379.641,18.555,-40.527,-12.207,336.914,0.000
1737551379.645,19.043,-31.250,0.977,432.129,0.000
1737551379.649,17.578,-29.297,-0.488,247.559,0.000
1737551379.653,0.977,-16.602,-13.184,-203.125,0.000
1737551379.657,33.203,-40.039,-5.859,-172.852,0.000
1737551379.661,21.973,-30.273,-7.812,229.980,0.000
1737551379.665,-20.508,-15.625,-22.949,377.441,0.000
1737551379.669,31.250,-36.621,-14.648,267.578,0.000
1737551379.672,41.992,-39.551,9.766,-210.938,0.000
1737551379.676,-33.691,0.977,-24.902,-282.227,0.000
1737551379.680,-68.359,18.555,-45.898,137.695,0.000
1737551379.684,32.715,-40.039,-0.977,364.258,0.000
1737551379.688,90.820,-52.246,12.695,318.848,0.000
1737551379.692,49.316,-16.602,-0.977,-147.461,0.000
1737551379.696,18.066,-25.391,-12.695,-263.184,0.000
1737551379.700,42.480,-52.734,9.277,189.941,0.000
1737551379.704,13.184,-29.297,19.531,364.746,0.000
1737551379.708,11.230,-29.297,-1.953,227.051,0.000
1737551379.712,19.043,-39.062,-2.930,-167.480,0.000
1737551379.715,-26.855,-4.395,-15.137,-321.777,0.000
1737551379.719,-17.090,-14.648,-14.160,69.336,0.000
1737551379.723,24.414,-20.996,-9.277,280.762,0.000
1737551379.727,36.621,-22.949,8.789,229.492,0.000
1737551379.731,-15.137,-20.020,9.277,-131.836,0.000
1737551379.735,-27.344,1.465,-40.039,-392.578,0.000
1737551379.739,30.762,13.184,-38.574,0.000,0.000
1737551379.743,32.227,-7.812,3.418,296.875,0.000
1737551379.747,34.668,-35.156,1.953,265.625,0.000
1737551379.751,48.340,-15.137,-37.109,-46.387,0.000
1737551379.754,-1.465,-8.789,-35.645,-435.059,0.000
1737551379.758,-24.902,-24.414,-5.371,-160.645,0.000
1737551379.762,10.742,-22.461,-10.742,220.703,0.000
1737551379.766,-62.988,6.836,-8.789,168.945,0.000
1737551379.770,-107.910,-8.789,32.715,-166.992,0.000
1737551379.774,-20.996,-41.504,5.371,-465.332,0.000
1737551379.778,10.742,-28.809,-55.664,-183.105,0.000
1737551379.782,13.672,-2.441,-49.316,127.441,0.000
1737551379.786,-23.926,-11.230,4.395,117.188,0.000
1737551379.790,-95.215,2.930,-20.508,-114.746,0.000
1737551379.794,-61.035,-28.320,-33.691,-532.227,0.000
1737551379.797,14.648,-52.734,-2.441,-432.617,0.000
1737551379.801,59.570,-45.898,1.465,33.691,0.000
1737551379.805,-35.156,15.625,-15.625,99.609,0.000
1737551379.809,-106.934,1.953,-9.766,-208.496,0.000
1737551379.813,-96.191,6.348,-32.715,-659.668,0.000
1737551379.817,-69.336,10.742,16.602,-566.895,0.000
1737551379.821,12.695,-35.645,72.266,-12.695,0.000
1737551379.825,43.945,-22.949,2.930,193.359,0.000
1737551379.829,53.711,11.230,0.000,16.602,0.000
1737551379.833,-22.949,72.266,-21.973,-419.434,0.000
1737551379.837,-1.953,44.434,-3.906,-458.008,0.000
1737551379.840,52.734,-57.617,53.711,-127.441,0.000
1737551379.844,35.156,-17.090,5.371,-59.570,0.000
1737551379.848,5.371,22.949,-41.992,-407.227,0.000
1737551379.852,-119.141,15.137,-16.602,-914.551,0.000
1737551379.856,-224.609,24.902,25.879,-1000.000,0.000
1737551379.860,-270.996,46.875,86.914,-927.734,0.000
1737551379.864,-280.762,64.453,151.855,-751.465,0.000
1737551379.868,-347.168,68.359,187.500,-793.457,0.000
1737551379.872,-393.066,85.449,232.422,-984.375,0.000
1737551379.876,-406.250,98.145,280.762,-1000.000,0.000
1737551379.879,-384.277,108.887,304.688,-602.539,0.000
1737551379.883,-315.918,130.859,327.148,-161.621,0.000
1737551379.887,-291.992,139.160,352.051,-146.973,0.000
1737551379.891,-336.914,167.480,358.887,-536.133,0.000
1737551379.895,-365.723,208.496,362.305,-643.555,0.000
1737551379.899,-325.684,229.492,358.398,-62.500,0.000
1737551379.903,-302.734,240.234,372.559,304.199,0.000
1737551379.907,-327.637,269.531,377.441,227.539,0.000
1737551379.911,-279.297,279.785,357.910,-185.059,0.000
1737551379.915,-266.113,285.156,362.305,-517.090,0.000
1737551379.919,-322.266,290.527,369.629,-216.797,0.000
1737551379.922,-349.121,289.062,359.863,123.047,0.000
1737551379.926,-320.801,289.551,354.492,196.289,0.000
1737551379.930,-341.309,259.277,354.492,-117.188,0.000
1737551379.934,-371.094,246.094,356.445,-543.945,0.000
1737551379.938,-338.379,259.277,369.629,-270.508,0.000
1737551379.942,-328.613,244.141,371.094,131.348,0.000
1737551379.946,-328.613,224.609,369.629,208.984,0.000
1737551379.950,-334.961,233.398,363.770,-61.523,0.000
1737551379.954,-384.766,214.844,338.867,-590.820,0.000
1737551379.958,-344.238,187.012,336.426,-436.035,0.000
1737551379.962,-268.066,183.105,341.797,-36.133,0.000
1737551379.965,-224.121,187.500,320.312,32.715,0.000
1737551379.969,-237.305,179.199,300.781,-179.199,0.000
1737551379.973,-286.133,159.668,284.668,-669.922,0.000
1737551379.977,-237.793,142.578,281.738,-588.379,0.000
1737551379.981,-206.543,132.812,272.949,-142.578,0.000
1737551379.985,-208.496,119.629,259.277,-24.902,0.000
1737551379.989,-197.266,102.539,252.441,-176.270,0.000
