timestamps,TP9,AF7,AF8,TP10,Right AUX
1737556674.353,-31.738,-24.902,-5.859,-15.137,0.000
1737556674.357,-36.621,-35.156,7.812,-34.668,0.000
1737556674.361,-19.043,-33.203,6.348,-23.926,0.000
1737556674.365,-12.207,-20.020,-13.184,6.348,0.000
1737556674.369,1.465,-27.832,-30.762,6.348,0.000
1737556674.373,4.883,-36.133,-37.109,-22.949,0.000
1737556674.377,-18.555,-25.391,-28.809,-38.574,0.000
1737556674.381,-27.832,-14.648,-36.621,-29.297,0.000
1737556674.385,-1.465,-8.789,-36.133,-5.859,0.000
1737556674.388,8.789,-9.277,-23.926,2.441,0.000
1737556674.392,-5.859,-16.113,-20.996,-4.883,0.000
1737556674.396,-14.648,-12.695,-14.648,-16.113,0.000
1737556674.400,-19.531,-9.766,-20.508,-12.207,0.000
1737556674.404,0.488,-11.230,-14.648,5.371,0.000
1737556674.408,8.789,-14.648,4.883,0.488,0.000
1737556674.412,-20.020,-24.414,-10.254,-33.691,0.000
1737556674.416,-41.992,-36.133,-40.527,-48.828,0.000
1737556674.420,-25.391,-28.809,-43.457,-23.926,0.000
1737556674.424,0.977,-21.973,-35.645,10.254,0.000
1737556674.428,-3.418,-34.180,-18.066,3.418,0.000
1737556674.431,-16.602,-25.391,-5.859,-33.691,0.000
1737556674.435,-28.809,-10.254,-26.855,-35.645,0.000
1737556674.439,-38.086,-2.930,-37.598,-24.902,0.000
1737556674.443,-9.766,-0.977,-26.855,-31.738,0.000
1737556674.447,8.301,3.906,-10.742,-18.066,0.000
1737556674.451,12.695,6.836,-15.137,0.488,0.000
1737556674.455,-0.977,-8.789,-28.809,-5.371,0.000
1737556674.459,-39.551,-14.648,-22.949,-16.602,0.000
1737556674.463,-35.645,-18.555,-9.277,-35.645,0.000
1737556674.467,-20.020,-31.738,-7.324,-38.574,0.000
1737556674.470,-14.160,-30.762,-9.766,-22.461,0.000
1737556674.474,5.859,-19.531,-22.461,-17.090,0.000
1737556674.478,-36.621,-16.602,-41.992,-37.598,0.000
1737556674.482,-55.664,-12.207,-58.105,-23.926,0.000
1737556674.486,-12.695,-3.906,-55.176,-7.812,0.000
1737556674.490,1.465,-0.488,-20.508,-11.230,0.000
1737556674.494,-19.531,-7.812,-2.441,-11.719,0.000
1737556674.498,-51.270,-23.926,-30.762,-33.203,0.000
1737556674.502,-44.922,-24.414,-38.574,-40.527,0.000
1737556674.506,-3.418,-8.301,-8.301,-23.926,0.000
1737556674.510,9.766,-9.277,-10.254,-21.973,0.000
1737556674.513,-11.719,-26.367,-32.715,-25.391,0.000
1737556674.517,-30.273,-30.273,-36.621,-26.855,0.000
1737556674.521,-33.203,-22.461,-35.645,-36.621,0.000
1737556674.525,-28.320,-13.184,-28.320,-32.227,0.000
1737556674.529,-7.812,-4.395,-15.625,-16.602,0.000
1737556674.533,-9.277,-10.254,-10.742,-13.184,0.000
1737556674.537,-35.645,-19.531,-11.719,-17.578,0.000
1737556674.541,-42.480,-16.113,-6.348,-23.926,0.000
1737556674.545,-35.156,-7.324,-18.555,-17.090,0.000
1737556674.549,-3.906,-0.977,-34.668,-20.020,0.000
1737556674.553,-20.020,3.418,-60.059,-20.996,0.000
1737556674.556,-52.734,-5.859,-57.129,-25.879,0.000
1737556674.560,-44.922,-12.695,-31.738,-48.828,0.000
1737556674.564,-15.137,-5.371,-17.090,-41.992,0.000
1737556674.568,-3.906,1.953,-18.066,-26.367,0.000
1737556674.572,-21.973,-10.742,-30.273,-13.184,0.000
1737556674.576,-21.973,-27.344,-34.668,-17.578,0.000
1737556674.580,-23.926,-23.438,-46.387,-23.926,0.000
1737556674.584,-47.852,-20.020,-47.363,0.000,0.000
1737556674.588,-0.488,-7.324,-30.762,20.996,0.000
1737556674.592,16.113,6.348,-33.691,-6.836,0.000
1737556674.595,-32.227,3.418,-12.207,-27.832,0.000
1737556674.599,-45.898,-14.160,4.883,-32.715,0.000
1737556674.603,-65.918,-30.273,-5.371,-41.992,0.000
1737556674.607,-48.340,-23.926,-16.602,-51.758,0.000
1737556674.611,-20.020,-11.230,-17.090,-49.316,0.000
1737556674.615,-25.391,-23.926,-1.465,-40.527,0.000
1737556674.619,-44.922,-26.367,-15.137,-47.852,0.000
1737556674.623,-23.926,-7.324,-49.316,-34.180,0.000
1737556674.627,1.953,0.488,-45.898,-0.488,0.000
1737556674.631,-25.879,-6.348,-18.066,-10.254,0.000
1737556674.635,-56.641,-11.230,0.488,-47.363,0.000
1737556674.638,-71.289,-17.090,-2.441,-64.453,0.000
1737556674.642,-51.758,-22.949,-32.715,-45.898,0.000
1737556674.646,-30.273,-11.230,-48.828,-14.648,0.000
1737556674.650,-18.555,-5.859,-26.367,-36.621,0.000
1737556674.654,-36.133,-15.137,-13.672,-67.383,0.000
1737556674.658,-68.848,-23.926,-4.395,-62.012,0.000
1737556674.662,-64.941,-21.484,-3.906,-57.617,0.000
1737556674.666,-20.996,-15.137,-27.344,-35.645,0.000
1737556674.670,6.348,-9.766,-48.340,-7.324,0.000
1737556674.674,-14.160,-9.277,-53.711,-26.367,0.000
1737556674.677,-46.875,-13.184,-36.133,-49.316,0.000
1737556674.681,-47.363,-7.324,-27.344,-46.875,0.000
1737556674.685,-27.832,-13.672,-22.461,-30.762,0.000
1737556674.689,-29.297,-21.484,-12.207,-6.836,0.000
1737556674.693,-25.879,-12.207,-22.461,-3.906,0.000
1737556674.697,-22.461,-3.418,-21.484,-20.996,0.000
1737556674.701,-49.805,-9.766,-27.344,-77.637,0.000
1737556674.705,-41.992,-16.113,-45.898,-67.871,0.000
1737556674.709,-19.531,-11.719,-47.363,-39.551,0.000
1737556674.713,-30.762,-11.230,-21.973,-53.223,0.000
1737556674.717,-26.855,-17.090,-6.348,-45.410,0.000
1737556674.720,-6.348,-13.184,-17.090,-34.180,0.000
1737556674.724,-33.203,-15.625,-24.414,-33.691,0.000
1737556674.728,-31.250,-19.043,-29.297,-8.301,0.000
1737556674.732,-16.113,-17.578,-20.996,-25.391,0.000
1737556674.736,-44.434,-21.973,-40.527,-43.457,0.000
1737556674.740,-62.988,-24.414,-58.105,-44.922,0.000
1737556674.744,-33.203,-22.949,-41.016,-50.781,0.000
1737556674.748,1.465,-15.137,-21.484,-28.320,0.000
1737556674.752,7.324,-11.719,-20.508,-26.855,0.000
1737556674.756,-20.508,-14.648,-20.020,-36.621,0.000
1737556674.760,-53.711,-17.090,-24.902,-41.016,0.000
1737556674.763,-53.711,-26.367,-48.340,-33.203,0.000
