timestamps,TP9,AF7,AF8,TP10,Right AUX
1737562878.878,0.000,-9.766,0.000,0.000,0.000
1737562878.881,0.000,-26.367,0.000,0.000,0.000
1737562878.885,0.000,-33.691,0.000,0.000,0.000
1737562878.889,0.000,-32.715,0.000,0.000,0.000
1737562878.893,0.000,-7.324,0.000,0.000,0.000
1737562878.897,0.000,-6.836,0.000,0.000,0.000
1737562878.901,0.000,-13.672,0.000,0.000,0.000
1737562878.905,0.000,6.348,0.000,0.000,0.000
1737562878.909,0.000,5.371,0.000,0.000,0.000
1737562878.913,0.000,-11.719,0.000,0.000,0.000
1737562878.917,0.000,-10.742,0.000,0.000,0.000
1737562878.920,0.000,-1.953,0.000,0.000,0.000
1737562878.924,-7.324,-5.859,-29.785,3.418,0.000
1737562878.928,-93.262,-9.277,-33.691,28.320,0.000
1737562878.932,17.090,-13.184,-27.344,43.457,0.000
1737562878.936,48.828,-15.137,-8.789,-39.062,0.000
1737562878.940,-15.137,-11.230,-9.766,-107.910,0.000
1737562878.944,-16.602,-7.812,-23.438,-39.062,0.000
1737562878.948,46.387,0.000,-13.672,75.684,0.000
1737562878.952,41.504,-10.254,-4.395,62.012,0.000
1737562878.956,-54.688,-24.902,5.371,-11.719,0.000
1737562878.960,-56.641,-22.461,7.812,-54.199,0.000
1737562878.963,-15.137,-18.555,-4.883,-64.941,0.000
1737562878.967,-18.555,-25.879,-7.324,-3.418,0.000
1737562878.971,42.480,-27.344,-37.109,60.547,0.000
1737562878.975,-41.016,-14.160,-30.762,5.371,0.000
1737562878.979,-95.703,-4.395,11.230,-84.961,0.000
1737562878.983,-5.371,-9.766,14.160,-77.637,0.000
1737562878.987,31.250,-15.625,12.695,50.781,0.000
1737562878.991,82.520,10.742,12.695,178.711,0.000
1737562878.995,83.008,9.766,-6.348,130.371,0.000
1737562878.999,-55.176,-28.809,-15.137,-38.574,0.000
1737562879.002,-103.027,-27.344,8.789,-98.633,0.000
1737562879.006,-19.531,-17.090,14.160,-21.973,0.000
1737562879.010,-4.395,-10.254,0.977,53.223,0.000
1737562879.014,-23.926,-1.953,-8.789,41.504,0.000
1737562879.018,-4.883,-4.883,-12.695,-56.152,0.000
1737562879.022,-28.809,-3.418,-3.418,-111.816,0.000
1737562879.026,-1.953,-4.395,-4.395,4.883,0.000
1737562879.030,39.551,-15.625,-4.395,103.516,0.000
1737562879.034,1.953,-13.672,0.488,66.406,0.000
1737562879.038,-13.672,1.953,-5.371,-61.523,0.000
1737562879.042,-69.336,0.000,-15.625,-100.586,0.000
1737562879.045,-106.934,-20.020,-19.043,-24.902,0.000
1737562879.049,-1.953,-11.230,-7.812,69.824,0.000
1737562879.053,8.789,-4.883,15.137,53.223,0.000
1737562879.057,-9.766,-13.184,16.602,-56.152,0.000
1737562879.061,-24.902,-10.254,4.883,-87.891,0.000
1737562879.065,0.000,2.930,0.000,-71.777,0.000
1737562879.069,0.000,3.906,0.000,6.836,0.000
1737562879.073,0.000,-2.930,0.000,111.816,0.000
1737562879.077,0.000,-12.695,0.000,-23.438,0.000
1737562879.081,0.000,-13.184,0.000,-94.238,0.000
1737562879.085,0.000,-9.766,0.000,22.949,0.000
1737562879.088,0.000,-14.648,0.000,139.160,0.000
1737562879.092,0.000,-15.625,0.000,125.000,0.000
1737562879.096,0.000,-6.348,0.000,-60.547,0.000
1737562879.100,0.000,9.277,0.000,-140.625,0.000
1737562879.104,0.000,15.137,0.000,-61.523,0.000
1737562879.108,0.000,6.836,0.000,17.090,0.000
1737562879.112,32.715,-12.207,0.488,82.520,0.000
1737562879.116,-51.270,-27.832,10.254,21.484,0.000
1737562879.120,-106.934,-35.156,4.883,-123.535,0.000
1737562879.124,-18.555,-21.484,-10.742,-61.035,0.000
1737562879.127,71.777,-7.812,-15.137,103.027,0.000
1737562879.131,5.859,-5.859,-11.719,95.215,0.000
1737562879.135,-65.918,-1.953,-9.766,-60.547,0.000
1737562879.139,-64.941,-12.695,-9.766,-128.906,0.000
1737562879.143,-10.254,-13.672,-5.859,-55.176,0.000
1737562879.147,-4.883,-4.883,-3.418,44.434,0.000
1737562879.151,-11.230,-16.602,-2.930,53.711,0.000
1737562879.155,-39.551,-30.273,-6.836,-26.855,0.000
1737562879.159,-38.086,-14.160,-28.809,-83.008,0.000
1737562879.163,-10.742,-11.719,-32.715,-30.273,0.000
1737562879.167,19.043,-29.297,-3.906,23.438,0.000
1737562879.170,-24.902,-12.207,10.742,110.352,0.000
1737562879.174,-87.402,13.672,5.371,37.109,0.000
1737562879.178,-24.414,10.254,4.395,-113.770,0.000
1737562879.182,32.227,-7.812,-13.672,-76.172,0.000
1737562879.186,-13.184,-11.230,-20.996,-32.227,0.000
1737562879.190,5.371,-13.672,-7.812,44.922,0.000
1737562879.194,-11.719,-20.508,-14.648,37.598,0.000
1737562879.198,-111.328,-20.020,-23.926,-76.172,0.000
1737562879.202,-82.031,-5.371,-31.738,-59.082,0.000
1737562879.206,-28.320,-6.348,-24.902,-21.484,0.000
1737562879.210,0.488,-25.391,3.906,39.062,0.000
1737562879.213,51.758,-20.996,3.418,26.367,0.000
1737562879.217,8.301,-9.277,-7.812,-111.816,0.000
1737562879.221,-73.730,-13.672,4.883,-106.934,0.000
1737562879.225,-64.941,0.977,0.488,-1.465,0.000
1737562879.229,-6.348,-8.789,-19.531,55.176,0.000
1737562879.233,-46.875,-23.438,-27.832,29.297,0.000
1737562879.237,-65.918,-10.254,-29.785,-83.496,0.000
1737562879.241,-45.410,0.000,-28.320,-100.098,0.000
1737562879.245,-27.344,2.930,-10.742,-39.062,0.000
1737562879.249,41.016,-6.836,14.160,40.039,0.000
1737562879.253,-8.789,-18.066,9.277,81.055,0.000
1737562879.256,-91.797,-15.137,-4.883,-53.223,0.000
1737562879.260,-5.371,-10.254,-4.883,-122.070,0.000
1737562879.264,-40.527,-9.277,-13.672,-49.316,0.000
1737562879.268,-21.973,-24.414,-30.273,49.805,0.000
1737562879.272,68.359,-21.973,-19.043,120.605,0.000
1737562879.276,-14.648,-14.160,-11.230,-14.648,0.000
1737562879.280,-121.094,-20.508,-9.277,-157.715,0.000
1737562879.284,-86.914,-10.254,-6.348,-101.562,0.000
1737562879.288,20.996,-15.625,-10.254,8.301,0.000
1737562879.292,47.852,-10.254,-7.812,100.586,0.000
1737562879.295,-23.438,0.000,-17.578,-25.879,0.000
1737562879.299,-121.582,-7.324,-18.066,-166.992,0.000
1737562879.303,-83.008,-20.020,-8.789,-94.238,0.000
1737562879.307,25.879,-35.645,-4.883,62.988,0.000
1737562879.311,22.949,-24.902,-6.836,128.906,0.000
1737562879.315,-45.410,-6.348,-7.324,8.301,0.000
1737562879.319,-48.340,-6.836,-8.301,-103.027,0.000
1737562879.323,-74.707,-13.184,-18.555,-84.473,0.000
1737562879.327,-52.246,0.977,-11.719,-17.578,0.000
1737562879.331,36.621,9.277,-3.906,40.527,0.000
1737562879.334,10.742,-17.090,-0.977,-41.504,0.000
1737562879.338,-38.086,-30.762,-1.465,-143.555,0.000
1737562879.342,-59.082,-13.672,-11.719,-74.707,0.000
1737562879.346,-15.137,-9.277,-20.020,23.926,0.000
1737562879.350,20.020,-8.789,-20.508,51.270,0.000
1737562879.354,-81.543,-14.160,-2.930,-2.930,0.000
1737562879.358,-101.074,-20.020,9.277,-76.660,0.000
1737562879.362,-43.945,-15.137,-8.301,-125.977,0.000
1737562879.366,-13.672,-7.812,-21.484,-59.570,0.000
1737562879.370,68.848,7.812,-21.973,85.938,0.000
1737562879.374,39.062,0.977,-20.508,18.066,0.000
1737562879.377,-92.773,-18.555,0.000,-58.594,0.000
1737562879.381,-126.465,-20.996,6.348,-72.266,0.000
1737562879.385,-65.918,-25.879,-4.395,-84.473,0.000
1737562879.389,19.043,-18.555,-11.230,-1.953,0.000
1737562879.393,-3.418,-8.301,-18.066,21.484,0.000
