timestamps,TP9,AF7,AF8,TP10,Right AUX
1737551724.886,-1.465,-45.410,-28.809,117.188,0.000
1737551724.890,-23.926,-16.113,-19.043,-60.059,0.000
1737551724.894,-36.621,9.766,-5.859,-198.242,0.000
1737551724.898,-22.461,-0.977,-14.648,-512.207,0.000
1737551724.902,-11.230,-3.906,-16.113,42.480,0.000
1737551724.906,-6.836,1.953,-14.160,324.707,0.000
1737551724.910,-10.254,-8.301,-7.324,5.371,0.000
1737551724.913,-10.254,-40.039,-9.277,-284.180,0.000
1737551724.917,-17.578,-41.992,-30.762,-524.902,0.000
1737551724.921,-22.949,-5.371,-26.855,23.926,0.000
1737551724.925,-19.043,5.371,-14.648,289.551,0.000
1737551724.929,-38.086,2.441,-16.113,16.602,0.000
1737551724.933,-45.410,-4.395,-19.043,-239.258,0.000
1737551724.937,-34.668,-14.648,-22.949,-574.219,0.000
1737551724.941,-28.320,-33.691,-32.715,-55.664,0.000
1737551724.945,-20.508,-41.992,-28.809,321.289,0.000
1737551724.949,-19.043,-33.203,-17.578,2.441,0.000
1737551724.953,-33.203,-13.184,-12.695,-105.957,0.000
1737551724.956,-56.641,-9.277,-17.090,-403.809,0.000
1737551724.960,-52.734,-17.090,-15.137,-149.414,0.000
1737551724.964,-33.691,-18.555,0.977,268.555,0.000
1737551724.968,-23.438,-22.461,0.000,60.547,0.000
1737551724.972,-25.879,-31.250,-19.043,-104.004,0.000
1737551724.976,-35.645,-16.113,-28.320,-445.312,0.000
1737551724.980,-31.738,-7.812,-25.879,-189.941,0.000
1737551724.984,-22.949,-19.043,-21.484,345.703,0.000
1737551724.988,-20.020,-11.719,-14.160,184.082,0.000
1737551724.992,-17.090,-8.789,-15.625,-86.914,0.000
1737551724.995,-36.133,-17.090,-18.066,-396.973,0.000
1737551724.999,-42.480,-19.043,-16.113,-230.469,0.000
1737551725.003,-7.324,-17.578,-27.344,319.336,0.000
1737551725.007,-7.324,-43.945,-18.066,123.047,0.000
1737551725.011,-31.250,-47.852,-3.418,-77.148,0.000
1737551725.015,-24.902,-14.160,-21.484,-265.137,0.000
1737551725.019,-25.879,1.465,-15.625,-346.680,0.000
1737551725.023,-25.391,1.953,-2.441,172.852,0.000
1737551725.027,-31.250,-4.395,-12.695,147.461,0.000
1737551725.031,-35.156,-17.090,-10.742,-44.434,0.000
1737551725.035,-29.297,-21.484,-14.160,-307.129,0.000
1737551725.038,-22.461,-36.621,-25.879,-452.637,0.000
1737551725.042,-8.789,-49.805,-27.832,250.977,0.000
1737551725.046,4.883,-40.527,-33.691,329.102,0.000
1737551725.050,-3.906,-10.742,-45.410,-2.930,0.000
1737551725.054,-11.230,2.930,-32.715,-314.941,0.000
1737551725.058,-31.738,-6.348,-9.277,-482.910,0.000
1737551725.062,-34.668,-9.766,-2.930,146.973,0.000
1737551725.066,-5.371,-15.625,-9.766,250.488,0.000
1737551725.070,0.977,-23.438,-13.184,-17.578,0.000
1737551725.074,-25.879,-21.973,-13.184,-204.102,0.000
1737551725.078,-51.758,-45.410,-20.020,-483.887,0.000
1737551725.081,-45.410,-45.898,-32.715,4.883,0.000
1737551725.085,-31.738,-21.484,-45.410,301.758,0.000
1737551725.089,-15.625,-15.625,-29.297,44.434,0.000
1737551725.093,-16.113,-4.395,-9.277,-127.930,0.000
1737551725.097,-37.109,-7.324,-1.465,-409.668,0.000
1737551725.101,-32.715,-2.930,-2.930,38.574,0.000
1737551725.105,-10.742,0.977,-5.859,283.691,0.000
1737551725.109,-12.695,-8.789,-5.371,-109.863,0.000
1737551725.113,-12.207,-17.578,-7.324,-190.918,0.000
1737551725.117,-8.301,-23.438,-28.320,-403.809,0.000
1737551725.120,0.000,-10.742,-34.668,-116.211,0.000
1737551725.124,-6.348,-2.930,-13.672,297.852,0.000
1737551725.128,-13.672,-15.137,-10.742,84.961,0.000
1737551725.132,-16.602,-19.043,-14.160,-113.770,0.000
1737551725.136,-38.086,-15.625,-15.137,-443.359,0.000
1737551725.140,-32.227,-15.625,-17.090,-132.812,0.000
1737551725.144,-22.461,-22.949,-14.160,367.676,0.000
1737551725.148,-39.551,-26.855,-12.207,41.504,0.000
1737551725.152,-25.879,-20.020,-32.227,-136.230,0.000
1737551725.156,-15.137,-21.484,-50.781,-424.316,0.000
1737551725.160,-22.461,-20.996,-25.391,-259.277,0.000
1737551725.163,-18.555,-18.555,-13.184,304.688,0.000
1737551725.167,-36.133,-16.113,-23.438,76.660,0.000
1737551725.171,-35.156,-18.066,-21.484,-29.297,0.000
1737551725.175,-31.738,-22.949,-20.996,-290.527,0.000
1737551725.179,-20.508,-20.020,-29.785,-460.938,0.000
1737551725.183,-1.953,-19.043,-23.926,222.168,0.000
1737551725.187,-10.254,-23.438,-22.949,270.996,0.000
1737551725.191,-21.973,-25.879,-23.438,-109.863,0.000
1737551725.195,-37.109,-39.551,-17.090,-379.883,0.000
1737551725.199,-46.875,-30.273,-11.230,-371.094,0.000
1737551725.202,-28.809,-2.441,0.000,180.664,0.000
1737551725.206,-10.742,3.418,-0.977,223.145,0.000
1737551725.210,-3.906,-10.742,-18.066,-57.617,0.000
1737551725.214,-9.766,-15.137,-23.438,-291.016,0.000
1737551725.218,-34.180,-6.348,-24.414,-328.613,0.000
1737551725.222,-42.969,-26.367,-28.809,75.684,0.000
1737551725.226,-17.578,-38.086,-28.809,122.070,0.000
1737551725.230,1.465,-18.555,-21.484,-39.551,0.000
1737551725.234,-23.438,-15.625,-4.883,-165.039,0.000
1737551725.238,-57.129,-20.020,2.930,-405.762,0.000
1737551725.242,-66.406,-7.324,-10.254,-15.625,0.000
1737551725.245,-46.875,4.883,-14.160,270.996,0.000
1737551725.249,-36.133,-9.277,-14.160,-24.902,0.000
1737551725.253,-33.691,-20.508,-26.367,-276.855,0.000
1737551725.257,-35.156,-25.391,-24.414,-457.031,0.000
1737551725.261,-33.203,-30.762,-17.578,10.742,0.000
1737551725.265,-11.719,-22.949,-21.973,311.035,0.000
1737551725.269,-20.996,-10.254,-11.230,-8.789,0.000
1737551725.273,-27.344,-4.883,-4.395,-156.250,0.000
1737551725.277,-21.484,-25.391,-7.324,-408.691,0.000
1737551725.281,-14.648,-27.344,-10.254,-31.738,0.000
1737551725.285,-14.648,-9.277,-22.461,314.453,0.000
1737551725.288,-13.184,-16.602,-17.090,47.852,0.000
1737551725.292,-17.090,-21.484,-13.672,-122.070,0.000
1737551725.296,-21.973,-23.438,-13.672,-424.316,0.000
1737551725.300,-9.766,-26.855,-7.324,-130.371,0.000
1737551725.304,0.977,-26.855,-17.578,305.176,0.000
1737551725.308,4.395,-7.812,-17.090,183.594,0.000
1737551725.312,7.324,11.230,-3.906,-67.871,0.000
1737551725.316,-20.020,-2.930,-5.371,-490.723,0.000
1737551725.320,-22.949,-25.879,-11.719,-305.176,0.000
1737551725.324,-6.836,-14.648,-6.348,310.059,0.000
1737551725.327,-29.785,-0.977,-15.137,200.195,0.000
1737551725.331,-31.250,-10.742,-24.414,-44.922,0.000
1737551725.335,-23.926,-17.578,-23.438,-392.578,0.000
1737551725.339,-29.785,-23.926,-18.555,-352.051,0.000
1737551725.343,-16.113,-20.996,-18.555,246.094,0.000
1737551725.347,-2.930,-21.484,-37.598,156.250,0.000
1737551725.351,-10.742,-23.438,-32.227,-99.121,0.000
1737551725.355,-20.508,-20.508,-8.789,-336.914,0.000
1737551725.359,-33.203,-9.766,3.906,-327.637,0.000
1737551725.363,-41.504,-5.371,-1.953,197.754,0.000
1737551725.367,-42.480,-5.371,-22.949,178.223,0.000
1737551725.370,-29.297,-4.395,-19.043,-35.645,0.000
1737551725.374,-30.273,-3.906,-15.625,-202.637,0.000
1737551725.378,-33.691,-13.184,-20.020,-378.906,0.000
1737551725.382,-6.348,-20.508,-16.113,122.070,0.000
1737551725.386,11.719,-9.277,-10.742,296.387,0.000
1737551725.390,4.883,-22.949,-4.395,-17.090,0.000
1737551725.394,-7.324,-28.320,-16.113,-294.434,0.000
1737551725.398,-27.832,-29.785,-11.230,-444.824,0.000
1737551725.402,-22.949,-12.207,-4.395,104.980,0.000
1737551725.406,14.648,13.184,-4.395,368.164,0.000
1737551725.410,0.977,1.953,-12.207,-36.133,0.000
1737551725.413,-12.695,-18.066,-13.672,-307.617,0.000
1737551725.417,-17.578,-22.949,-19.043,-418.945,0.000
1737551725.421,-39.551,-13.672,-28.809,90.332,0.000
1737551725.425,-38.574,-13.184,-17.578,313.477,0.000
1737551725.429,-25.879,-18.555,-5.859,-27.344,0.000
1737551725.433,-14.160,-24.902,-2.441,-111.328,0.000
1737551725.437,-21.973,-20.508,-4.883,-386.230,0.000
1737551725.441,-13.184,-3.906,-13.672,-89.355,0.000
1737551725.445,0.977,-9.277,-19.043,357.422,0.000
1737551725.449,3.906,-11.230,-31.738,170.410,0.000
1737551725.452,14.648,-8.301,-30.273,-131.348,0.000
1737551725.456,-4.395,-10.742,-34.180,-471.680,0.000
1737551725.460,-19.531,-13.672,-41.016,-122.559,0.000
1737551725.464,-7.812,-19.531,-6.348,342.773,0.000
1737551725.468,3.906,-8.789,11.230,194.824,0.000
1737551725.472,19.043,-7.812,3.906,-33.691,0.000
1737551725.476,7.324,-4.395,-2.930,-459.961,0.000
1737551725.480,-43.457,-2.930,-11.719,-268.555,0.000
1737551725.484,-40.527,-24.414,-16.602,312.012,0.000
1737551725.488,-27.344,-25.391,-22.949,172.363,0.000
1737551725.492,-36.133,-17.578,-37.598,-34.668,0.000
1737551725.495,-46.875,-20.020,-38.574,-342.285,0.000
1737551725.499,-48.828,-14.648,-14.160,-269.531,0.000
1737551725.503,-17.578,-20.020,3.906,329.102,0.000
1737551725.507,-2.441,-18.555,-9.277,185.059,0.000
1737551725.511,-7.324,-22.949,-24.414,-95.703,0.000
1737551725.515,-13.184,-11.719,-27.832,-271.484,0.000
1737551725.519,-8.301,-6.836,-30.273,-343.750,0.000
1737551725.523,-18.066,-19.531,-27.832,180.176,0.000
1737551725.527,-27.344,-20.020,-28.809,271.973,0.000
1737551725.531,-27.344,-27.832,-32.715,-8.301,0.000
1737551725.534,-35.645,-21.484,-29.785,-226.562,0.000
