timestamps,TP9,AF7,AF8,TP10,Right AUX
1737550882.798,-21.973,-9.766,-17.090,864.746,0.000
1737550882.802,-41.504,-18.066,-11.719,-292.480,0.000
1737550882.806,-47.363,-25.391,-14.648,-1000.000,0.000
1737550882.810,-2.930,-19.531,-16.113,-125.977,0.000
1737550882.814,41.992,-2.930,-13.184,984.375,0.000
1737550882.817,56.641,0.977,-15.625,999.512,0.000
1737550882.821,18.066,-3.906,-18.066,0.977,0.000
1737550882.825,-7.812,-7.812,-19.531,-1000.000,0.000
1737550882.829,35.156,-12.207,-19.531,-427.246,0.000
1737550882.833,71.289,-14.160,-17.090,819.336,0.000
1737550882.837,62.012,-20.508,-12.207,999.512,0.000
1737550882.841,15.625,-26.855,-11.230,-16.113,0.000
1737550882.845,-12.207,-20.508,-8.789,-1000.000,0.000
1737550882.849,0.488,-11.719,-4.883,-440.430,0.000
1737550882.853,27.832,-8.789,-8.301,766.113,0.000
1737550882.856,37.109,-10.742,-8.301,999.512,0.000
1737550882.860,-8.301,-6.836,-13.184,315.430,0.000
1737550882.864,-46.875,-2.441,-23.438,-1000.000,0.000
1737550882.868,-29.297,-7.812,-26.367,-504.395,0.000
1737550882.872,2.441,-10.254,-18.555,760.254,0.000
1737550882.876,3.906,-9.277,-15.137,999.512,0.000
1737550882.880,-28.320,-20.020,-19.043,341.309,0.000
1737550882.884,-65.918,-23.438,-23.438,-1000.000,0.000
1737550882.888,-43.457,-15.137,-20.020,-599.121,0.000
1737550882.892,-4.395,-12.695,-20.508,691.895,0.000
1737550882.896,-9.277,-13.672,-20.508,999.512,0.000
1737550882.899,-27.832,-11.230,-18.066,522.461,0.000
1737550882.903,-59.082,-11.719,-19.043,-794.434,0.000
1737550882.907,-42.969,-13.184,-17.090,-902.344,0.000
1737550882.911,14.648,-1.465,-15.625,309.570,0.000
1737550882.915,19.531,-4.395,-15.625,999.512,0.000
1737550882.919,-28.320,-17.578,-18.066,537.598,0.000
1737550882.923,-58.594,-20.508,-15.625,-775.879,0.000
1737550882.927,-46.387,-19.043,-13.184,-994.141,0.000
1737550882.931,0.488,-18.555,-14.648,99.121,0.000
1737550882.935,34.180,-12.695,-19.043,999.512,0.000
1737550882.939,20.508,-10.254,-14.648,560.059,0.000
1737550882.942,-18.555,-19.043,-10.254,-743.164,0.000
1737550882.946,-33.691,-21.973,-17.090,-1000.000,0.000
